Scenario - Bisection Task
Logfile written - 10/12/2018 17:27:11

Subject	Trial	Event Type	Code	event_cond(str)	subject_id(num)	block_name(str)	block_number(num)	trial_number(num)	probe(num)	ITI(num)	correctAns(num)	resp(num)	accuracy(num)	short(str)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

10	1	Picture	Instruction	Instruction											333	0	1	65323	1	0	next	other	0
10	1	Response	1												65485	65152	0
10	2	Picture	Stim;10;study;1;1;1;1076;1;-1;0;right	Stim	10	study	1	1	1	1076	1	-1	0	right	65656	0	1	11665	1	0	next	other	0
10	4	Picture	Stim;10;study;1;2;7;1066;7;-1;0;right	Stim	10	study	1	2	7	1066	7	-1	0	right	106650	0	1	10832	1	0	next	other	0
10	6	Picture	Stim;10;study;1;3;1;1032;1;-1;0;right	Stim	10	study	1	3	1	1032	1	-1	0	right	167307	0	1	10498	1	0	next	other	0
10	8	Picture	Stim;10;study;1;4;7;1763;7;-1;0;right	Stim	10	study	1	4	7	1763	7	-1	0	right	207801	0	1	17831	1	0	next	other	0
10	10	Picture	Stim;10;study;1;5;1;1789;1;-1;0;right	Stim	10	study	1	5	1	1789	1	-1	0	right	275457	0	1	17997	1	0	next	other	0
10	12	Picture	Stim;10;study;1;6;7;1941;7;-1;0;right	Stim	10	study	1	6	7	1941	7	-1	0	right	323450	0	1	19497	1	0	next	other	0
10	14	Picture	Stim;10;study;1;7;1;1030;1;-1;0;right	Stim	10	study	1	7	1	1030	1	-1	0	right	392939	0	1	10498	1	0	next	other	0
10	16	Picture	Stim;10;study;1;8;7;1331;7;-1;0;right	Stim	10	study	1	8	7	1331	7	-1	0	right	433432	0	1	13498	1	0	next	other	0
10	18	Picture	Stim;10;study;1;9;1;1124;1;-1;0;right	Stim	10	study	1	9	1	1124	1	-1	0	right	496756	0	1	11332	1	0	next	other	0
10	20	Picture	Stim;10;study;1;10;7;1047;7;-1;0;right	Stim	10	study	1	10	7	1047	7	-1	0	right	538083	0	1	10665	1	0	next	other	0
10	22	Picture	End_Block	End_Block											598740	0	1	85987	1	0	next	other	0
10	22	Response	1												684539	85799	0
10	23	Picture	Break	Break											684727	0	1	1666	1	0	next	other	0
10	23	Response	1												686298	1572	0
10	24	Picture	ITI	ITI											686393	0	1	10165	1	0	next	other	0
10	25	Picture	Instruction	Instruction											696558	0	1	193136	1	0	next	other	0
10	25	Response	1												889477	192919	1
10	26	Picture	Instruction	Instruction											889694	0	1	149643	1	0	next	other	0
10	26	Response	1												1039221	149526	0
10	27	Picture	Stim;10;practice;1;1;5;1000;1;1;1;right	Stim	10	practice	1	1	5	1000	1	1	1	right	1039338	0	1	10165	1	0	next	other	0
10	29	Picture	Feedback	Feedback											1090163	0	1	7166	1	0	next	other	0
10	30	Picture	Stim;10;practice;1;2;4;1000;2;1;0;right	Stim	10	practice	1	2	4	1000	2	1	0	right	1097329	0	1	10165	1	0	next	other	0
10	32	Picture	Feedback	Feedback											1144821	0	1	7166	1	0	next	other	0
10	33	Picture	Stim;10;practice;1;3;1;1000;2;2;1;right	Stim	10	practice	1	3	1	1000	2	2	1	right	1151987	0	1	10165	1	0	next	other	0
10	35	Picture	Feedback	Feedback											1192147	0	1	7166	1	0	next	other	0
10	36	Picture	Stim;10;practice;1;4;3;1000;2;2;1;right	Stim	10	practice	1	4	3	1000	2	2	1	right	1199313	0	1	10165	1	0	next	other	0
10	38	Picture	Feedback	Feedback											1243806	0	1	7166	1	0	next	other	0
10	39	Picture	Stim;10;practice;1;5;6;1000;1;1;1;right	Stim	10	practice	1	5	6	1000	1	1	1	right	1250971	0	1	10165	1	0	next	other	0
10	41	Picture	Feedback	Feedback											1305963	0	1	7165	1	0	next	other	0
10	42	Picture	Stim;10;practice;1;6;2;1000;2;2;1;right	Stim	10	practice	1	6	2	1000	2	2	1	right	1313128	0	1	10165	1	0	next	other	0
10	44	Picture	Feedback	Feedback											1355289	0	1	7166	1	0	next	other	0
10	45	Picture	Stim;10;practice;1;7;7;1000;1;1;1;right	Stim	10	practice	1	7	7	1000	1	1	1	right	1362454	0	1	10165	1	0	next	other	0
10	47	Picture	Feedback	Feedback											1422445	0	1	7165	1	0	next	other	0
10	48	Picture	Stim;10;practice;2;1;4;1000;2;1;0;right	Stim	10	practice	2	1	4	1000	2	1	0	right	1429610	0	1	10165	1	0	next	other	0
10	50	Picture	Feedback	Feedback											1477103	0	1	7166	1	0	next	other	0
10	51	Picture	Stim;10;practice;2;2;7;1000;1;1;1;right	Stim	10	practice	2	2	7	1000	1	1	1	right	1484268	0	1	10165	1	0	next	other	0
10	53	Picture	Feedback	Feedback											1544259	0	1	7166	1	0	next	other	0
10	54	Picture	Stim;10;practice;2;3;5;1000;1;1;1;right	Stim	10	practice	2	3	5	1000	1	1	1	right	1551425	0	1	10165	1	0	next	other	0
10	56	Picture	Feedback	Feedback											1602250	0	1	7166	1	0	next	other	0
10	57	Picture	Stim;10;practice;2;4;3;1000;2;1;0;right	Stim	10	practice	2	4	3	1000	2	1	0	right	1609416	0	1	10165	1	0	next	other	0
10	59	Picture	Feedback	Feedback											1653909	0	1	7166	1	0	next	other	0
10	60	Picture	Stim;10;practice;2;5;6;1000;1;1;1;right	Stim	10	practice	2	5	6	1000	1	1	1	right	1661074	0	1	10165	1	0	next	other	0
10	62	Picture	Feedback	Feedback											1716066	0	1	7166	1	0	next	other	0
10	63	Picture	Stim;10;practice;2;6;1;1000;2;2;1;right	Stim	10	practice	2	6	1	1000	2	2	1	right	1723231	0	1	10165	1	0	next	other	0
10	65	Picture	Feedback	Feedback											1763392	0	1	7166	1	0	next	other	0
10	66	Picture	Stim;10;practice;2;7;2;1000;2;2;1;right	Stim	10	practice	2	7	2	1000	2	2	1	right	1770557	0	1	10165	1	0	next	other	0
10	68	Picture	Feedback	Feedback											1812717	0	1	7166	1	0	next	other	0
10	69	Picture	Stim;10;practice;3;1;6;1000;1;1;1;right	Stim	10	practice	3	1	6	1000	1	1	1	right	1819883	0	1	10165	1	0	next	other	0
10	71	Picture	Feedback	Feedback											1874874	0	1	7166	1	0	next	other	0
10	72	Picture	Stim;10;practice;3;2;5;1000;1;1;1;right	Stim	10	practice	3	2	5	1000	1	1	1	right	1882040	0	1	10165	1	0	next	other	0
10	74	Picture	Feedback	Feedback											1932865	0	1	7166	1	0	next	other	0
10	75	Picture	Stim;10;practice;3;3;7;1000;1;1;1;right	Stim	10	practice	3	3	7	1000	1	1	1	right	1940031	0	1	10165	1	0	next	other	0
10	77	Picture	Feedback	Feedback											2000021	0	1	7166	1	0	next	other	0
