Scenario - Bisection Task
Logfile written - 10/11/2018 12:40:43

Subject	Trial	Event Type	Code	event_cond(str)	subject_id(num)	block_name(str)	block_number(num)	trial_number(num)	probe(num)	ITI(num)	correctAns(num)	resp(num)	accuracy(num)	short(str)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

1	1	Picture	Instruction	Instruction											333	0	1	94152	1	0	next	other	0
1	1	Response	1												94368	94035	0
1	2	Picture	Stim;1;study;1;1;1;1465;1;-1;0;left	Stim	1	study	1	1	1	1465	1	-1	0	left	94485	0	1	15664	1	0	next	other	0
1	4	Picture	Stim;1;study;1;2;7;1378;7;-1;0;left	Stim	1	study	1	2	7	1378	7	-1	0	left	139312	0	1	13998	1	0	next	other	0
1	6	Picture	Stim;1;study;1;3;1;1072;1;-1;0;left	Stim	1	study	1	3	1	1072	1	-1	0	left	203135	0	1	10832	1	0	next	other	0
1	8	Picture	Stim;1;study;1;4;7;1088;7;-1;0;left	Stim	1	study	1	4	7	1088	7	-1	0	left	243962	0	1	10998	1	0	next	other	0
1	10	Picture	Stim;1;study;1;5;1;1886;1;-1;0;left	Stim	1	study	1	5	1	1886	1	-1	0	left	304952	0	1	18997	1	0	next	other	0
1	12	Picture	Stim;1;study;1;6;7;1582;7;-1;0;left	Stim	1	study	1	6	7	1582	7	-1	0	left	353945	0	1	15997	1	0	next	other	0
1	14	Picture	Stim;1;study;1;7;1;1579;1;-1;0;left	Stim	1	study	1	7	1	1579	1	-1	0	left	419768	0	1	15998	1	0	next	other	0
1	16	Picture	Stim;1;study;1;8;7;1499;7;-1;0;left	Stim	1	study	1	8	7	1499	7	-1	0	left	465761	0	1	15164	1	0	next	other	0
1	18	Picture	Stim;1;study;1;9;1;1510;1;-1;0;left	Stim	1	study	1	9	1	1510	1	-1	0	left	530751	0	1	15164	1	0	next	other	0
1	20	Picture	Stim;1;study;1;10;7;1093;7;-1;0;left	Stim	1	study	1	10	7	1093	7	-1	0	left	575910	0	1	10998	1	0	next	other	0
1	22	Picture	End_Block	End_Block											636901	0	1	116815	1	0	next	other	0
1	22	Response	1												753498	116597	0
1	23	Picture	Break	Break											753716	0	1	2333	1	0	next	other	0
1	23	Response	1												755897	2181	0
1	24	Picture	ITI	ITI											756049	0	1	10165	1	0	next	other	0
1	25	Picture	Instruction	Instruction											766214	0	1	340947	1	0	next	other	0
1	25	Response	1												1106980	340766	0
1	26	Picture	Instruction	Instruction											1107161	0	1	56491	1	0	next	other	0
1	26	Response	1												1163534	56373	0
1	27	Picture	Stim;1;practice;1;1;4;1000;1;1;1;left	Stim	1	practice	1	1	4	1000	1	1	1	left	1163652	0	1	10165	1	0	next	other	0
1	29	Picture	Feedback	Feedback											1211145	0	1	7166	1	0	next	other	0
1	30	Picture	Stim;1;practice;1;2;1;1000;1;1;1;left	Stim	1	practice	1	2	1	1000	1	1	1	left	1218310	0	1	10165	1	0	next	other	0
1	32	Picture	Feedback	Feedback											1258471	0	1	7166	1	0	next	other	0
1	33	Picture	Stim;1;practice;1;3;5;1000;2;1;0;left	Stim	1	practice	1	3	5	1000	2	1	0	left	1265636	0	1	10165	1	0	next	other	0
1	35	Picture	Feedback	Feedback											1316461	0	1	7166	1	0	next	other	0
1	36	Picture	Stim;1;practice;1;4;2;1000;1;1;1;left	Stim	1	practice	1	4	2	1000	1	1	1	left	1323627	0	1	10165	1	0	next	other	0
1	38	Picture	Feedback	Feedback											1365787	0	1	7166	1	0	next	other	0
1	39	Picture	Stim;1;practice;1;5;3;1000;1;1;1;left	Stim	1	practice	1	5	3	1000	1	1	1	left	1372953	0	1	10165	1	0	next	other	0
1	41	Picture	Feedback	Feedback											1417446	0	1	7166	1	0	next	other	0
1	42	Picture	Stim;1;practice;1;6;6;1000;2;2;1;left	Stim	1	practice	1	6	6	1000	2	2	1	left	1424611	0	1	10165	1	0	next	other	0
1	44	Picture	Feedback	Feedback											1479603	0	1	7166	1	0	next	other	0
1	45	Picture	Stim;1;practice;1;7;7;1000;2;2;1;left	Stim	1	practice	1	7	7	1000	2	2	1	left	1486768	0	1	10165	1	0	next	other	0
1	47	Picture	Feedback	Feedback											1546759	0	1	7166	1	0	next	other	0
