Subject Id	Block Type	Block Number	Trial Number	Probe Condition	Inter-Trial Interval	Answer	Response	Score	Short Dynomometer
9	study	1	1	1	1828	1	-1	0	left
9	study	1	2	7	1095	7	-1	0	left
9	study	1	3	1	1045	1	-1	0	left
9	study	1	4	7	1733	7	-1	0	left
9	study	1	5	1	1280	1	-1	0	left
9	study	1	6	7	1845	7	-1	0	left
9	study	1	7	1	1424	1	-1	0	left
9	study	1	8	7	1992	7	-1	0	left
9	study	1	9	1	1029	1	-1	0	left
9	study	1	10	7	1449	7	-1	0	left
9	practice	1	1	1	1000	1	1	1	left
9	practice	1	2	3	1000	1	2	0	left
9	practice	1	3	2	1000	1	1	1	left
9	practice	1	4	4	1000	1	1	1	left
9	practice	1	5	5	1000	2	2	1	left
9	practice	1	6	7	1000	2	2	1	left
9	practice	1	7	6	1000	2	2	1	left
9	practice	2	1	7	1000	2	2	1	left
9	practice	2	2	5	1000	2	2	1	left
9	practice	2	3	6	1000	2	2	1	left
9	practice	2	4	4	1000	1	1	1	left
9	practice	2	5	1	1000	1	1	1	left
9	practice	2	6	2	1000	1	1	1	left
9	practice	2	7	3	1000	1	2	0	left
9	practice	3	1	5	1000	2	2	1	left
9	practice	3	2	2	1000	1	1	1	left
9	practice	3	3	3	1000	1	1	1	left
9	practice	3	4	6	1000	2	2	1	left
9	practice	3	5	4	1000	1	2	0	left
9	practice	3	6	7	1000	2	2	1	left
9	practice	3	7	1	1000	1	1	1	left
9	test	1	1	1	1681	1	1	1	left
9	test	1	2	5	1183	2	2	1	left
9	test	1	3	2	1148	1	2	0	left
9	test	1	4	2	1561	1	1	1	left
9	test	1	5	5	1513	2	2	1	left
9	test	1	6	6	1101	2	2	1	left
9	test	1	7	6	1390	2	2	1	left
9	test	1	8	3	1861	1	2	0	left
9	test	1	9	4	1143	1	1	1	left
9	test	1	10	5	1764	2	2	1	left
9	test	1	11	1	1247	1	1	1	left
9	test	1	12	6	1606	2	2	1	left
9	test	1	13	5	1842	2	2	1	left
9	test	1	14	3	1005	1	2	0	left
9	test	1	15	1	1835	1	1	1	left
9	test	1	16	4	1711	1	2	0	left
