Scenario - Bisection Task
Logfile written - 10/12/2018 13:27:35

Subject	Trial	Event Type	Code	event_cond(str)	subject_id(num)	block_name(str)	block_number(num)	trial_number(num)	probe(num)	ITI(num)	correctAns(num)	resp(num)	accuracy(num)	short(str)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

7	1	Picture	Instruction	Instruction											166	0	1	52325	1	0	next	other	0
7	1	Response	1												52386	52219	0
7	2	Picture	Stim;7;study;1;1;1;1155;1;-1;0;left	Stim	7	study	1	1	1	1155	1	-1	0	left	52492	0	1	12998	1	0	next	other	0
7	4	Picture	Stim;7;study;1;2;7;1770;7;-1;0;left	Stim	7	study	1	2	7	1770	7	-1	0	left	94152	0	1	17831	1	0	next	other	0
7	6	Picture	Stim;7;study;1;3;1;1802;1;-1;0;left	Stim	7	study	1	3	1	1802	1	-1	0	left	161975	0	1	18164	1	0	next	other	0
7	8	Picture	Stim;7;study;1;4;7;1255;7;-1;0;left	Stim	7	study	1	4	7	1255	7	-1	0	left	210134	0	1	12665	1	0	next	other	0
7	10	Picture	Stim;7;study;1;5;1;1296;1;-1;0;left	Stim	7	study	1	5	1	1296	1	-1	0	left	272791	0	1	13165	1	0	next	other	0
7	12	Picture	Stim;7;study;1;6;7;1236;7;-1;0;left	Stim	7	study	1	6	7	1236	7	-1	0	left	315951	0	1	12498	1	0	next	other	0
7	14	Picture	Stim;7;study;1;7;1;1114;1;-1;0;left	Stim	7	study	1	7	1	1114	1	-1	0	left	378441	0	1	11332	1	0	next	other	0
7	16	Picture	Stim;7;study;1;8;7;1156;7;-1;0;left	Stim	7	study	1	8	7	1156	7	-1	0	left	419768	0	1	11665	1	0	next	other	0
7	18	Picture	Stim;7;study;1;9;1;1746;1;-1;0;left	Stim	7	study	1	9	1	1746	1	-1	0	left	481425	0	1	17664	1	0	next	other	0
7	20	Picture	Stim;7;study;1;10;7;1405;7;-1;0;left	Stim	7	study	1	10	7	1405	7	-1	0	left	529084	0	1	14164	1	0	next	other	0
7	22	Picture	End_Block	End_Block											593241	0	1	96652	1	0	next	other	0
7	22	Response	1												689678	96437	1
7	23	Picture	Break	Break											689893	0	1	20663	1	0	next	other	0
7	23	Response	1												710476	20583	1
7	24	Picture	ITI	ITI											710556	0	1	10165	1	0	next	other	0
7	25	Picture	Instruction	Instruction											720721	0	1	314118	1	0	next	other	0
7	25	Response	1												1034681	313960	0
7	26	Picture	Instruction	Instruction											1034839	0	1	77321	1	0	next	other	0
7	26	Response	1												1112033	77194	1
7	27	Picture	Stim;7;practice;1;1;2;1000;1;1;1;left	Stim	7	practice	1	1	2	1000	1	1	1	left	1112161	0	1	10165	1	0	next	other	0
7	29	Picture	Feedback	Feedback											1154321	0	1	7166	1	0	next	other	0
7	30	Picture	Stim;7;practice;1;2;6;1000;2;2;1;left	Stim	7	practice	1	2	6	1000	2	2	1	left	1161486	0	1	10165	1	0	next	other	0
7	32	Picture	Feedback	Feedback											1216478	0	1	7166	1	0	next	other	0
7	33	Picture	Stim;7;practice;1;3;5;1000;2;2;1;left	Stim	7	practice	1	3	5	1000	2	2	1	left	1223643	0	1	10165	1	0	next	other	0
7	35	Picture	Feedback	Feedback											1274469	0	1	7166	1	0	next	other	0
7	36	Picture	Stim;7;practice;1;4;4;1000;1;2;0;left	Stim	7	practice	1	4	4	1000	1	2	0	left	1281634	0	1	10165	1	0	next	other	0
7	38	Picture	Feedback	Feedback											1329127	0	1	7165	1	0	next	other	0
7	39	Picture	Stim;7;practice;1;5;7;1000;2;2;1;left	Stim	7	practice	1	5	7	1000	2	2	1	left	1336292	0	1	10165	1	0	next	other	0
7	41	Picture	Feedback	Feedback											1396283	0	1	7166	1	0	next	other	0
7	42	Picture	Stim;7;practice;1;6;3;1000;1;1;1;left	Stim	7	practice	1	6	3	1000	1	1	1	left	1403449	0	1	10165	1	0	next	other	0
7	44	Picture	Feedback	Feedback											1447942	0	1	7165	1	0	next	other	0
7	45	Picture	Stim;7;practice;1;7;1;1000;1;1;1;left	Stim	7	practice	1	7	1	1000	1	1	1	left	1455107	0	1	10165	1	0	next	other	0
7	47	Picture	Feedback	Feedback											1495268	0	1	7166	1	0	next	other	0
7	48	Picture	Stim;7;practice;2;1;5;1000;2;2;1;left	Stim	7	practice	2	1	5	1000	2	2	1	left	1502433	0	1	10165	1	0	next	other	0
7	50	Picture	Feedback	Feedback											1553259	0	1	7165	1	0	next	other	0
7	51	Picture	Stim;7;practice;2;2;3;1000;1;2;0;left	Stim	7	practice	2	2	3	1000	1	2	0	left	1560424	0	1	10165	1	0	next	other	0
7	53	Picture	Feedback	Feedback											1604917	0	1	7166	1	0	next	other	0
7	54	Picture	Stim;7;practice;2;3;1;1000;1;1;1;left	Stim	7	practice	2	3	1	1000	1	1	1	left	1612083	0	1	10165	1	0	next	other	0
7	56	Picture	Feedback	Feedback											1652243	0	1	7166	1	0	next	other	0
7	57	Picture	Stim;7;practice;2;4;2;1000;1;1;1;left	Stim	7	practice	2	4	2	1000	1	1	1	left	1659409	0	1	10165	1	0	next	other	0
7	59	Picture	Feedback	Feedback											1701569	0	1	7166	1	0	next	other	0
