Scenario - Bisection Task
Logfile written - 10/05/2018 15:27:08

Subject	Trial	Event Type	Code	event_cond(str)	subject_id(num)	block_name(str)	block_number(num)	trial_number(num)	probe(num)	ITI(num)	correctAns(num)	resp(num)	accuracy(num)	short(str)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

30	1	Picture	Instruction	Instruction											167	0	2	96152	2	0	next	other	0
30	1	Response	1												96220	96054	0
30	2	Picture	Stim;30;study;1;1;1;1252;1;-1;0;right	Stim	30	study	1	1	1	1252	1	-1	0	right	96318	0	1	13831	1	0	next	other	0
30	4	Picture	Stim;30;study;1;2;7;1470;7;-1;0;right	Stim	30	study	1	2	7	1470	7	-1	0	right	139312	0	1	14831	1	0	next	other	0
30	6	Picture	Stim;30;study;1;3;1;1450;1;-1;0;right	Stim	30	study	1	3	1	1450	1	-1	0	right	204135	0	1	14664	1	0	next	other	0
30	8	Picture	Stim;30;study;1;4;7;1216;7;-1;0;right	Stim	30	study	1	4	7	1216	7	-1	0	right	248795	0	1	12331	1	0	next	other	0
30	10	Picture	Stim;30;study;1;5;1;1363;1;-1;0;right	Stim	30	study	1	5	1	1363	1	-1	0	right	310952	0	1	13831	1	0	next	other	0
30	12	Picture	Stim;30;study;1;6;7;1062;7;-1;0;right	Stim	30	study	1	6	7	1062	7	-1	0	right	354778	0	1	10832	1	0	next	other	0
30	14	Picture	Stim;30;study;1;7;1;1161;1;-1;0;right	Stim	30	study	1	7	1	1161	1	-1	0	right	415436	0	1	11665	1	0	next	other	0
30	16	Picture	Stim;30;study;1;8;7;1561;7;-1;0;right	Stim	30	study	1	8	7	1561	7	-1	0	right	457096	0	1	15831	1	0	next	other	0
30	18	Picture	Stim;30;study;1;9;1;1047;1;-1;0;right	Stim	30	study	1	9	1	1047	1	-1	0	right	522752	0	1	10665	1	0	next	other	0
30	20	Picture	Stim;30;study;1;10;7;1271;7;-1;0;right	Stim	30	study	1	10	7	1271	7	-1	0	right	563412	0	1	12831	1	0	next	other	0
30	22	Picture	End_Block	End_Block											626236	0	1	339281	1	0	next	other	0
30	22	Response	1												965328	339092	0
30	23	Picture	Break	Break											965517	0	1	1500	1	0	next	other	0
30	23	Response	1												966927	1411	0
30	24	Picture	ITI	ITI											967017	0	1	10165	1	0	next	other	0
30	25	Picture	Instruction	Instruction											977182	0	1	22330	1	0	next	other	0
30	25	Response	1												999324	22142	0
30	26	Picture	Instruction	Instruction											999512	0	1	41160	1	0	next	other	0
30	26	Response	1												1040600	41088	0
30	27	Picture	Stim;30;practice;1;1;7;1000;1;1;1;right	Stim	30	practice	1	1	7	1000	1	1	1	right	1040672	0	1	10165	1	0	next	other	0
30	29	Picture	Feedback	Feedback											1100829	0	1	7166	1	0	next	other	0
30	30	Picture	Stim;30;practice;1;2;2;1000;2;2;1;right	Stim	30	practice	1	2	2	1000	2	2	1	right	1107995	0	1	10165	1	0	next	other	0
30	32	Picture	Feedback	Feedback											1150155	0	1	7166	1	0	next	other	0
30	33	Picture	Stim;30;practice;1;3;4;1000;2;2;1;right	Stim	30	practice	1	3	4	1000	2	2	1	right	1157320	0	1	10165	1	0	next	other	0
30	35	Picture	Feedback	Feedback											1204813	0	1	7166	1	0	next	other	0
30	36	Picture	Stim;30;practice;1;4;3;1000;2;2;1;right	Stim	30	practice	1	4	3	1000	2	2	1	right	1211979	0	1	10165	1	0	next	other	0
30	38	Picture	Feedback	Feedback											1256472	0	1	7166	1	0	next	other	0
30	39	Picture	Stim;30;practice;1;5;6;1000;1;1;1;right	Stim	30	practice	1	5	6	1000	1	1	1	right	1263637	0	1	10165	1	0	next	other	0
30	41	Picture	Feedback	Feedback											1318629	0	1	7166	1	0	next	other	0
30	42	Picture	Stim;30;practice;1;6;5;1000;1;1;1;right	Stim	30	practice	1	6	5	1000	1	1	1	right	1325794	0	1	10165	1	0	next	other	0
30	44	Picture	Feedback	Feedback											1376620	0	1	7166	1	0	next	other	0
30	45	Picture	Stim;30;practice;1;7;1;1000;2;2;1;right	Stim	30	practice	1	7	1	1000	2	2	1	right	1383785	0	1	10165	1	0	next	other	0
30	47	Picture	Feedback	Feedback											1423946	0	1	7166	1	0	next	other	0
