Subject Id	Block Type	Block Number	Trial Number	Probe Condition	Inter-Trial Interval	Answer	Response	Score	Short Dynomometer
27	study	1	1	1	1262	1	-1	0	left
27	study	1	2	7	1865	7	-1	0	left
27	study	1	3	1	1710	1	-1	0	left
27	study	1	4	7	1393	7	-1	0	left
27	study	1	5	1	1774	1	-1	0	left
27	study	1	6	7	1896	7	-1	0	left
27	study	1	7	1	1490	1	-1	0	left
27	study	1	8	7	1708	7	-1	0	left
27	study	1	9	1	1586	1	-1	0	left
27	study	1	10	7	1405	7	-1	0	left
27	practice	1	1	2	1000	1	2	0	left
27	practice	1	2	7	1000	2	2	1	left
27	practice	1	3	1	1000	1	1	1	left
27	practice	1	4	6	1000	2	1	0	left
27	practice	1	5	4	1000	1	2	0	left
27	practice	1	6	5	1000	2	1	0	left
27	practice	1	7	3	1000	1	2	0	left
27	practice	2	1	6	1000	2	2	1	left
27	practice	2	2	2	1000	1	1	1	left
27	practice	2	3	1	1000	1	1	1	left
27	practice	2	4	3	1000	1	1	1	left
27	practice	2	5	7	1000	2	1	0	left
27	practice	2	6	4	1000	1	2	0	left
27	practice	2	7	5	1000	2	1	0	left
27	practice	3	1	5	1000	2	1	0	left
27	practice	3	2	3	1000	1	2	0	left
27	practice	3	3	6	1000	2	1	0	left
27	practice	3	4	4	1000	1	2	0	left
27	practice	3	5	2	1000	1	2	0	left
27	practice	3	6	7	1000	2	1	0	left
27	practice	3	7	1	1000	1	2	0	left
27	practice	1	1	1	1000	1	1	1	left
27	practice	1	2	5	1000	2	2	1	left
27	practice	1	3	6	1000	2	2	1	left
27	practice	1	4	7	1000	2	2	1	left
27	practice	1	5	4	1000	1	2	0	left
27	practice	1	6	3	1000	1	1	1	left
27	practice	1	7	2	1000	1	1	1	left
27	practice	2	1	1	1000	1	1	1	left
27	practice	2	2	7	1000	2	2	1	left
27	practice	2	3	3	1000	1	1	1	left
27	practice	2	4	6	1000	2	2	1	left
27	practice	2	5	4	1000	1	2	0	left
27	practice	2	6	5	1000	2	2	1	left
27	practice	2	7	2	1000	1	1	1	left
27	practice	3	1	6	1000	2	2	1	left
27	practice	3	2	2	1000	1	1	1	left
27	practice	3	3	7	1000	2	2	1	left
27	practice	3	4	5	1000	2	2	1	left
27	practice	3	5	1	1000	1	1	1	left
27	practice	3	6	4	1000	1	2	0	left
27	practice	3	7	3	1000	1	2	0	left
27	test	1	1	6	1589	2	1	0	left
27	test	1	2	4	1778	1	2	0	left
27	test	1	3	7	1505	2	2	1	left
27	test	1	4	4	1818	1	2	0	left
27	test	1	5	4	1812	1	2	0	left
27	test	1	6	5	1469	2	1	0	left
27	test	1	7	7	1130	2	1	0	left
27	test	1	8	2	1419	1	1	1	left
27	test	1	9	4	1205	1	1	1	left
27	test	1	10	1	1302	1	1	1	left
27	test	1	11	3	1486	1	2	0	left
27	test	1	12	3	1155	1	1	1	left
27	test	1	13	7	1104	2	2	1	left
27	test	1	14	6	1200	2	2	1	left
27	test	1	15	5	1895	2	2	1	left
27	test	1	16	3	1332	1	1	1	left
27	test	1	17	6	1177	2	1	0	left
27	test	1	18	3	1786	1	2	0	left
27	test	1	19	5	1875	2	2	1	left
27	test	1	20	2	1830	1	1	1	left
27	test	1	21	2	1798	1	1	1	left
27	test	1	22	1	1592	1	1	1	left
27	test	1	23	7	1617	2	2	1	left
27	test	1	24	5	1541	2	2	1	left
27	test	1	25	4	1738	1	2	0	left
27	test	1	26	6	1726	2	2	1	left
27	test	1	27	7	1562	2	2	1	left
27	test	1	28	1	1469	1	1	1	left
27	test	1	29	4	1185	1	1	1	left
27	test	1	30	2	1229	1	2	0	left
27	test	1	31	5	1726	2	1	0	left
27	test	1	32	5	1329	2	2	1	left
27	test	1	33	6	1839	2	2	1	left
27	test	1	34	1	1728	1	1	1	left
27	test	1	35	6	1328	2	2	1	left
27	test	1	36	6	1867	2	2	1	left
27	test	1	37	2	1275	1	1	1	left
27	test	1	38	3	1493	1	2	0	left
27	test	1	39	1	1394	1	1	1	left
27	test	1	40	1	1214	1	1	1	left
27	test	1	41	5	1098	2	2	1	left
27	test	1	42	1	1884	1	1	1	left
27	test	1	43	2	1237	1	1	1	left
27	test	1	44	7	1913	2	2	1	left
27	test	1	45	7	1373	2	2	1	left
27	test	1	46	3	1855	1	1	1	left
27	test	1	47	4	1706	1	1	1	left
27	test	1	48	3	1624	1	1	1	left
27	test	1	49	2	2000	1	1	1	left
27	test	2	1	5	1105	2	2	1	left
27	test	2	2	4	1906	1	2	0	left
27	test	2	3	4	1069	1	2	0	left
27	test	2	4	7	1921	2	2	1	left
27	test	2	5	7	1325	2	2	1	left
27	test	2	6	4	1593	1	2	0	left
27	test	2	7	1	1110	1	1	1	left
27	test	2	8	5	1027	2	2	1	left
27	test	2	9	3	1742	1	2	0	left
27	test	2	10	5	1493	2	2	1	left
27	test	2	11	6	1095	2	1	0	left
27	test	2	12	3	1205	1	2	0	left
27	test	2	13	6	1482	2	2	1	left
27	test	2	14	5	1854	2	2	1	left
27	test	2	15	5	1926	2	2	1	left
27	test	2	16	2	1645	1	1	1	left
27	test	2	17	7	1297	2	2	1	left
27	test	2	18	6	1754	2	2	1	left
27	test	2	19	1	1829	1	1	1	left
27	test	2	20	1	1296	1	1	1	left
27	test	2	21	7	1110	2	2	1	left
27	test	2	22	1	1293	1	1	1	left
27	test	2	23	3	1135	1	2	0	left
27	test	2	24	2	1947	1	1	1	left
