Scenario - Bisection Task
Logfile written - 10/10/2018 12:19:59

Subject	Trial	Event Type	Code	event_cond(str)	subject_id(num)	block_name(str)	block_number(num)	trial_number(num)	probe(num)	ITI(num)	correctAns(num)	resp(num)	accuracy(num)	short(str)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

38	1	Picture	Instruction	Instruction											333	0	1	107150	1	0	next	other	0
38	1	Response	1												107323	106989	0
38	2	Picture	Stim;38;study;1;1;1;1828;1;-1;0;right	Stim	38	study	1	1	1	1828	1	-1	0	right	107483	0	1	19997	1	0	next	other	0
38	4	Picture	Stim;38;study;1;2;7;1440;7;-1;0;right	Stim	38	study	1	2	7	1440	7	-1	0	right	155976	0	1	14498	1	0	next	other	0
38	6	Picture	Stim;38;study;1;3;1;1771;1;-1;0;right	Stim	38	study	1	3	1	1771	1	-1	0	right	220466	0	1	17830	1	0	next	other	0
38	8	Picture	Stim;38;study;1;4;7;1106;7;-1;0;right	Stim	38	study	1	4	7	1106	7	-1	0	right	268291	0	1	11165	1	0	next	other	0
38	10	Picture	Stim;38;study;1;5;1;1484;1;-1;0;right	Stim	38	study	1	5	1	1484	1	-1	0	right	329449	0	1	14998	1	0	next	other	0
38	12	Picture	Stim;38;study;1;6;7;1269;7;-1;0;right	Stim	38	study	1	6	7	1269	7	-1	0	right	374442	0	1	12831	1	0	next	other	0
38	14	Picture	Stim;38;study;1;7;1;1855;1;-1;0;right	Stim	38	study	1	7	1	1855	1	-1	0	right	437265	0	1	18664	1	0	next	other	0
38	16	Picture	Stim;38;study;1;8;7;1922;7;-1;0;right	Stim	38	study	1	8	7	1922	7	-1	0	right	485924	0	1	19330	1	0	next	other	0
38	18	Picture	Stim;38;study;1;9;1;1718;1;-1;0;right	Stim	38	study	1	9	1	1718	1	-1	0	right	555247	0	1	17331	1	0	next	other	0
38	20	Picture	Stim;38;study;1;10;7;1674;7;-1;0;right	Stim	38	study	1	10	7	1674	7	-1	0	right	602573	0	1	16831	1	0	next	other	0
38	22	Picture	End_Block	End_Block											669396	0	1	156309	1	0	next	other	0
38	22	Response	1												825566	156171	0
38	23	Picture	Break	Break											825705	0	1	2333	1	0	next	other	0
38	23	Response	1												827965	2261	1
38	24	Picture	ITI	ITI											828038	0	1	10165	1	0	next	other	0
38	25	Picture	Instruction	Instruction											838203	0	1	292621	1	0	next	other	0
38	25	Response	1												1130734	292531	0
38	26	Picture	Instruction	Instruction											1130824	0	1	52492	1	0	next	other	0
38	26	Response	1												1183128	52304	0
38	27	Picture	Stim;38;practice;1;1;5;1000;1;1;1;right	Stim	38	practice	1	1	5	1000	1	1	1	right	1183316	0	1	10165	1	0	next	other	0
38	29	Picture	Feedback	Feedback											1234308	0	1	7166	1	0	next	other	0
38	30	Picture	Stim;38;practice;1;2;7;1000;1;1;1;right	Stim	38	practice	1	2	7	1000	1	1	1	right	1241473	0	1	10165	1	0	next	other	0
38	32	Picture	Feedback	Feedback											1301464	0	1	7165	1	0	next	other	0
38	33	Picture	Stim;38;practice;1;3;4;1000;2;1;0;right	Stim	38	practice	1	3	4	1000	2	1	0	right	1308629	0	1	10165	1	0	next	other	0
38	35	Picture	Feedback	Feedback											1356122	0	1	7166	1	0	next	other	0
38	36	Picture	Stim;38;practice;1;4;3;1000;2;1;0;right	Stim	38	practice	1	4	3	1000	2	1	0	right	1363287	0	1	10165	1	0	next	other	0
38	38	Picture	Feedback	Feedback											1407781	0	1	7165	1	0	next	other	0
38	39	Picture	Stim;38;practice;1;5;1;1000;2;2;1;right	Stim	38	practice	1	5	1	1000	2	2	1	right	1414946	0	1	10165	1	0	next	other	0
38	41	Picture	Feedback	Feedback											1455107	0	1	7166	1	0	next	other	0
38	42	Picture	Stim;38;practice;1;6;6;1000;1;1;1;right	Stim	38	practice	1	6	6	1000	1	1	1	right	1462272	0	1	10165	1	0	next	other	0
38	44	Picture	Feedback	Feedback											1517264	0	1	7166	1	0	next	other	0
38	45	Picture	Stim;38;practice;1;7;2;1000;2;2;1;right	Stim	38	practice	1	7	2	1000	2	2	1	right	1524429	0	1	10165	1	0	next	other	0
38	47	Picture	Feedback	Feedback											1566589	0	1	7166	1	0	next	other	0
38	48	Picture	Stim;38;practice;2;1;7;1000;1;1;1;right	Stim	38	practice	2	1	7	1000	1	1	1	right	1573755	0	1	10165	1	0	next	other	0
38	50	Picture	Feedback	Feedback											1633745	0	1	7166	1	0	next	other	0
38	51	Picture	Stim;38;practice;2;2;3;1000;2;2;1;right	Stim	38	practice	2	2	3	1000	2	2	1	right	1640911	0	1	10165	1	0	next	other	0
38	53	Picture	Feedback	Feedback											1685404	0	1	7166	1	0	next	other	0
38	54	Picture	Stim;38;practice;2;3;4;1000;2;1;0;right	Stim	38	practice	2	3	4	1000	2	1	0	right	1692570	0	1	10165	1	0	next	other	0
38	56	Picture	Feedback	Feedback											1740062	0	1	7166	1	0	next	other	0
38	57	Picture	Stim;38;practice;2;4;2;1000;2;2;1;right	Stim	38	practice	2	4	2	1000	2	2	1	right	1747228	0	1	10165	1	0	next	other	0
38	59	Picture	Feedback	Feedback											1789388	0	1	7166	1	0	next	other	0
38	60	Picture	Stim;38;practice;2;5;6;1000;1;1;1;right	Stim	38	practice	2	5	6	1000	1	1	1	right	1796553	0	1	10165	1	0	next	other	0
38	62	Picture	Feedback	Feedback											1851545	0	1	7166	1	0	next	other	0
38	63	Picture	Stim;38;practice;2;6;1;1000;2;2;1;right	Stim	38	practice	2	6	1	1000	2	2	1	right	1858710	0	1	10165	1	0	next	other	0
38	65	Picture	Feedback	Feedback											1898871	0	1	7166	1	0	next	other	0
38	66	Picture	Stim;38;practice;2;7;5;1000;1;1;1;right	Stim	38	practice	2	7	5	1000	1	1	1	right	1906036	0	1	10165	1	0	next	other	0
38	68	Picture	Feedback	Feedback											1956862	0	1	7166	1	0	next	other	0
