Scenario - Bisection Task
Logfile written - 10/02/2018 16:23:01

Subject	Trial	Event Type	Code	event_cond(str)	subject_id(num)	block_name(str)	block_number(num)	trial_number(num)	probe(num)	ITI(num)	correctAns(num)	resp(num)	accuracy(num)	short(str)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

16	1	Picture	Instruction	Instruction											167	0	1	110816	1	0	next	other	0
16	1	Response	1												110817	110651	0
16	2	Picture	Stim;16;study;1;1;1;1716;1;-1;0;right	Stim	16	study	1	1	1	1716	1	-1	0	right	110983	0	1	18164	1	0	next	other	0
16	4	Picture	Stim;16;study;1;2;7;1523;7;-1;0;right	Stim	16	study	1	2	7	1523	7	-1	0	right	158309	0	1	15331	1	0	next	other	0
16	6	Picture	Stim;16;study;1;3;1;1443;1;-1;0;right	Stim	16	study	1	3	1	1443	1	-1	0	right	223632	0	1	14498	1	0	next	other	0
16	8	Picture	Stim;16;study;1;4;7;1048;7;-1;0;right	Stim	16	study	1	4	7	1048	7	-1	0	right	268125	0	1	10665	1	0	next	other	0
16	10	Picture	Stim;16;study;1;5;1;1996;1;-1;0;right	Stim	16	study	1	5	1	1996	1	-1	0	right	328615	0	1	20164	1	0	next	other	0
16	12	Picture	Stim;16;study;1;6;7;1798;7;-1;0;right	Stim	16	study	1	6	7	1798	7	-1	0	right	378774	0	1	18164	1	0	next	other	0
16	14	Picture	Stim;16;study;1;7;1;1398;1;-1;0;right	Stim	16	study	1	7	1	1398	1	-1	0	right	446764	0	1	14164	1	0	next	other	0
16	16	Picture	Stim;16;study;1;8;7;1355;7;-1;0;right	Stim	16	study	1	8	7	1355	7	-1	0	right	490923	0	1	13665	1	0	next	other	0
16	18	Picture	Stim;16;study;1;9;1;1688;1;-1;0;right	Stim	16	study	1	9	1	1688	1	-1	0	right	554580	0	1	16997	1	0	next	other	0
16	20	Picture	Stim;16;study;1;10;7;1020;7;-1;0;right	Stim	16	study	1	10	7	1020	7	-1	0	right	601573	0	1	10332	1	0	next	other	0
16	22	Picture	End_Block	End_Block											661897	0	1	438432	1	0	next	other	0
16	22	Response	1												1100152	438255	0
16	23	Picture	Break	Break											1100328	0	1	9665	1	0	next	other	0
16	23	Response	1												1109831	9502	0
16	24	Picture	ITI	ITI											1109994	0	1	10165	1	0	next	other	0
16	25	Picture	Instruction	Instruction											1120159	0	1	33828	1	0	next	other	0
16	25	Response	1												1153826	33667	0
16	26	Picture	Instruction	Instruction											1153987	0	1	59491	1	0	next	other	0
16	26	Response	1												1213420	59433	0
16	27	Picture	Stim;16;practice;1;1;5;1000;1;1;1;right	Stim	16	practice	1	1	5	1000	1	1	1	right	1213478	0	1	10165	1	0	next	other	0
16	29	Picture	Feedback	Feedback											1264303	0	1	7166	1	0	next	other	0
16	30	Picture	Stim;16;practice;1;2;4;1000;2;1;0;right	Stim	16	practice	1	2	4	1000	2	1	0	right	1271469	0	1	10165	1	0	next	other	0
16	32	Picture	Feedback	Feedback											1318961	0	1	7166	1	0	next	other	0
16	33	Picture	Stim;16;practice;1;3;6;1000;1;1;1;right	Stim	16	practice	1	3	6	1000	1	1	1	right	1326127	0	1	10165	1	0	next	other	0
16	35	Picture	Feedback	Feedback											1381118	0	1	7166	1	0	next	other	0
16	36	Picture	Stim;16;practice;1;4;7;1000;1;1;1;right	Stim	16	practice	1	4	7	1000	1	1	1	right	1388284	0	1	10165	1	0	next	other	0
16	38	Picture	Feedback	Feedback											1448274	0	1	7166	1	0	next	other	0
16	39	Picture	Stim;16;practice;1;5;3;1000;2;1;0;right	Stim	16	practice	1	5	3	1000	2	1	0	right	1455440	0	1	10165	1	0	next	other	0
16	41	Picture	Feedback	Feedback											1499933	0	1	7166	1	0	next	other	0
16	42	Picture	Stim;16;practice;1;6;1;1000;2;2;1;right	Stim	16	practice	1	6	1	1000	2	2	1	right	1507099	0	1	10165	1	0	next	other	0
16	44	Picture	Feedback	Feedback											1547259	0	1	7166	1	0	next	other	0
16	45	Picture	Stim;16;practice;1;7;2;1000;2;2;1;right	Stim	16	practice	1	7	2	1000	2	2	1	right	1554425	0	1	10165	1	0	next	other	0
16	47	Picture	Feedback	Feedback											1596585	0	1	7166	1	0	next	other	0
16	48	Picture	Stim;16;practice;2;1;3;1000;2;2;1;right	Stim	16	practice	2	1	3	1000	2	2	1	right	1603750	0	1	10165	1	0	next	other	0
16	50	Picture	Feedback	Feedback											1648243	0	1	7165	1	0	next	other	0
16	51	Picture	Stim;16;practice;2;2;1;1000;2;2;1;right	Stim	16	practice	2	2	1	1000	2	2	1	right	1655409	0	1	10165	1	0	next	other	0
16	53	Picture	Feedback	Feedback											1695569	0	1	7166	1	0	next	other	0
16	54	Picture	Stim;16;practice;2;3;5;1000;1;1;1;right	Stim	16	practice	2	3	5	1000	1	1	1	right	1702735	0	1	10165	1	0	next	other	0
16	56	Picture	Feedback	Feedback											1753560	0	1	7166	1	0	next	other	0
16	57	Picture	Stim;16;practice;2;4;2;1000;2;1;0;right	Stim	16	practice	2	4	2	1000	2	1	0	right	1760726	0	1	10165	1	0	next	other	0
16	59	Picture	Feedback	Feedback											1802886	0	1	7165	1	0	next	other	0
16	60	Picture	Stim;16;practice;2;5;7;1000;1;1;1;right	Stim	16	practice	2	5	7	1000	1	1	1	right	1810051	0	1	10165	1	0	next	other	0
16	62	Picture	Feedback	Feedback											1870042	0	1	7166	1	0	next	other	0
16	63	Picture	Stim;16;practice;2;6;4;1000;2;1;0;right	Stim	16	practice	2	6	4	1000	2	1	0	right	1877207	0	1	10165	1	0	next	other	0
16	65	Picture	Feedback	Feedback											1924700	0	1	7165	1	0	next	other	0
16	66	Picture	Stim;16;practice;2;7;6;1000;1;1;1;right	Stim	16	practice	2	7	6	1000	1	1	1	right	1931866	0	1	10165	1	0	next	other	0
16	68	Picture	Feedback	Feedback											1986857	0	1	7166	1	0	next	other	0
16	69	Picture	Stim;16;practice;3;1;4;1000;2;2;1;right	Stim	16	practice	3	1	4	1000	2	2	1	right	1994023	0	1	10165	1	0	next	other	0
16	71	Picture	Feedback	Feedback											2041515	0	1	7166	1	0	next	other	0
16	72	Picture	Stim;16;practice;3;2;7;1000;1;1;1;right	Stim	16	practice	3	2	7	1000	1	1	1	right	2048681	0	1	10165	1	0	next	other	0
16	74	Picture	Feedback	Feedback											2108671	0	1	7166	1	0	next	other	0
16	75	Picture	Stim;16;practice;3;3;5;1000;1;1;1;right	Stim	16	practice	3	3	5	1000	1	1	1	right	2115837	0	1	10165	1	0	next	other	0
16	77	Picture	Feedback	Feedback											2166663	0	1	7165	1	0	next	other	0
16	78	Picture	Stim;16;practice;3;4;3;1000;2;2;1;right	Stim	16	practice	3	4	3	1000	2	2	1	right	2173828	0	1	10165	1	0	next	other	0
16	80	Picture	Feedback	Feedback											2218321	0	1	7166	1	0	next	other	0
16	81	Picture	Stim;16;practice;3;5;6;1000;1;1;1;right	Stim	16	practice	3	5	6	1000	1	1	1	right	2225487	0	1	10165	1	0	next	other	0
16	83	Picture	Feedback	Feedback											2280478	0	1	7166	1	0	next	other	0
16	84	Picture	Stim;16;practice;3;6;2;1000;2;2;1;right	Stim	16	practice	3	6	2	1000	2	2	1	right	2287644	0	1	10165	1	0	next	other	0
16	86	Picture	Feedback	Feedback											2329804	0	1	7166	1	0	next	other	0
16	87	Picture	Stim;16;practice;3;7;1;1000;2;2;1;right	Stim	16	practice	3	7	1	1000	2	2	1	right	2336969	0	1	10165	1	0	next	other	0
16	89	Picture	Feedback	Feedback											2377130	0	1	7166	1	0	next	other	0
16	90	Picture	Break	Break											2384295	0	1	158475	1	0	next	other	0
16	90	Response	1												2542638	158343	0
16	91	Picture	Instruction	Instruction											2542770	0	1	112149	1	0	next	other	0
16	91	Response	1												2654786	112015	0
16	92	Picture	ITI	ITI											2654920	0	1	10165	1	0	next	other	0
16	93	Picture	Instruction	Instruction											2665085	0	1	21163	1	0	next	other	0
16	93	Response	1												2686063	20978	0
16	94	Picture	Stim;16;test;1;1;7;1305;1;1;1;right	Stim	16	test	1	1	7	1305	1	1	1	right	2686248	0	1	13165	1	0	next	other	0
16	96	Picture	Stim;16;test;1;2;3;1991;2;1;0;right	Stim	16	test	1	2	3	1991	2	1	0	right	2749405	0	1	19997	1	0	next	other	0
16	98	Picture	Stim;16;test;1;3;2;1321;2;2;1;right	Stim	16	test	1	3	2	1321	2	2	1	right	2803897	0	1	13331	1	0	next	other	0
16	100	Picture	Stim;16;test;1;4;7;1046;1;1;1;right	Stim	16	test	1	4	7	1046	1	1	1	right	2849223	0	1	10665	1	0	next	other	0
16	102	Picture	Stim;16;test;1;5;1;1140;2;2;1;right	Stim	16	test	1	5	1	1140	2	2	1	right	2909713	0	1	11498	1	0	next	other	0
16	104	Picture	Stim;16;test;1;6;1;1287;2;2;1;right	Stim	16	test	1	6	1	1287	2	2	1	right	2951207	0	1	12998	1	0	next	other	0
16	106	Picture	Stim;16;test;1;7;3;1084;2;2;1;right	Stim	16	test	1	7	3	1084	2	2	1	right	2994200	0	1	10998	1	0	next	other	0
16	108	Picture	Stim;16;test;1;8;7;1489;1;1;1;right	Stim	16	test	1	8	7	1489	1	1	1	right	3039527	0	1	14998	1	0	next	other	0
16	110	Picture	Stim;16;test;1;9;6;1333;1;1;1;right	Stim	16	test	1	9	6	1333	1	1	1	right	3104516	0	1	13498	1	0	next	other	0
16	112	Picture	Stim;16;test;1;10;3;1327;2;2;1;right	Stim	16	test	1	10	3	1327	2	2	1	right	3162841	0	1	13331	1	0	next	other	0
16	114	Picture	Stim;16;test;1;11;6;1812;1;1;1;right	Stim	16	test	1	11	6	1812	1	1	1	right	3210666	0	1	18329	2	0	next	other	0
