Subject Id	Block Type	Block Number	Trial Number	Probe Condition	Inter-Trial Interval	Answer	Response	Score	Short Dynomometer
29	study	1	1	1	1449	1	-1	0	left
29	study	1	2	7	1721	7	-1	0	left
29	study	1	3	1	1484	1	-1	0	left
29	study	1	4	7	1600	7	-1	0	left
29	study	1	5	1	1645	1	-1	0	left
29	study	1	6	7	1432	7	-1	0	left
29	study	1	7	1	1305	1	-1	0	left
29	study	1	8	7	1378	7	-1	0	left
29	study	1	9	1	1147	1	-1	0	left
29	study	1	10	7	1762	7	-1	0	left
29	practice	1	1	4	1000	1	1	1	left
29	practice	1	2	7	1000	2	2	1	left
29	practice	1	3	1	1000	1	1	1	left
29	practice	1	4	3	1000	1	2	0	left
29	practice	1	5	2	1000	1	1	1	left
29	practice	1	6	6	1000	2	2	1	left
29	practice	1	7	5	1000	2	2	1	left
29	practice	2	1	1	1000	1	1	1	left
29	practice	2	2	6	1000	2	2	1	left
29	practice	2	3	7	1000	2	2	1	left
29	practice	2	4	3	1000	1	1	1	left
29	practice	2	5	4	1000	1	1	1	left
29	practice	2	6	5	1000	2	1	0	left
29	practice	2	7	2	1000	1	1	1	left
29	practice	3	1	5	1000	2	2	1	left
29	practice	3	2	3	1000	1	1	1	left
29	practice	3	3	1	1000	1	1	1	left
29	practice	3	4	4	1000	1	1	1	left
29	practice	3	5	7	1000	2	2	1	left
29	practice	3	6	6	1000	2	2	1	left
29	practice	3	7	2	1000	1	1	1	left
29	test	1	1	5	1022	2	2	1	left
29	test	1	2	3	1074	1	1	1	left
29	test	1	3	2	1463	1	1	1	left
29	test	1	4	4	1836	1	2	0	left
29	test	1	5	2	1150	1	1	1	left
29	test	1	6	3	1639	1	1	1	left
29	test	1	7	7	1028	2	2	1	left
29	test	1	8	1	1381	1	1	1	left
29	test	1	9	3	1857	1	1	1	left
29	test	1	10	1	1615	1	1	1	left
29	test	1	11	1	1894	1	1	1	left
29	test	1	12	4	1507	1	2	0	left
29	test	1	13	1	1469	1	1	1	left
29	test	1	14	7	1554	2	2	1	left
29	test	1	15	7	1983	2	2	1	left
29	test	1	16	4	1720	1	1	1	left
29	test	1	17	4	1186	1	1	1	left
29	test	1	18	7	1507	2	2	1	left
29	test	1	19	5	1441	2	2	1	left
