Scenario - Bisection Task
Logfile written - 10/02/2018 14:28:27

Subject	Trial	Event Type	Code	event_cond(str)	subject_id(num)	block_name(str)	block_number(num)	trial_number(num)	probe(num)	ITI(num)	correctAns(num)	resp(num)	accuracy(num)	short(str)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

14	1	Picture	Instruction	Instruction											333	0	1	102651	1	0	next	other	0
14	1	Response	1												102785	102452	0
14	2	Picture	Stim;14;study;1;1;1;2000;1;-1;0;right	Stim	14	study	1	1	1	2000	1	-1	0	right	102984	0	1	20830	1	0	next	other	0
14	4	Picture	Stim;14;study;1;2;7;1570;7;-1;0;right	Stim	14	study	1	2	7	1570	7	-1	0	right	153143	0	1	15831	1	0	next	other	0
14	6	Picture	Stim;14;study;1;3;1;1274;1;-1;0;right	Stim	14	study	1	3	1	1274	1	-1	0	right	218966	0	1	12831	1	0	next	other	0
14	8	Picture	Stim;14;study;1;4;7;1028;7;-1;0;right	Stim	14	study	1	4	7	1028	7	-1	0	right	261792	0	1	10498	1	0	next	other	0
14	10	Picture	Stim;14;study;1;5;1;1318;1;-1;0;right	Stim	14	study	1	5	1	1318	1	-1	0	right	322116	0	1	13331	1	0	next	other	0
14	12	Picture	Stim;14;study;1;6;7;1832;7;-1;0;right	Stim	14	study	1	6	7	1832	7	-1	0	right	365443	0	1	18497	1	0	next	other	0
14	14	Picture	Stim;14;study;1;7;1;1692;1;-1;0;right	Stim	14	study	1	7	1	1692	1	-1	0	right	433766	0	1	16997	1	0	next	other	0
14	16	Picture	Stim;14;study;1;8;7;1867;7;-1;0;right	Stim	14	study	1	8	7	1867	7	-1	0	right	480758	0	1	18830	1	0	next	other	0
14	18	Picture	Stim;14;study;1;9;1;1489;1;-1;0;right	Stim	14	study	1	9	1	1489	1	-1	0	right	549414	0	1	14998	1	0	next	other	0
14	20	Picture	Stim;14;study;1;10;7;1680;7;-1;0;right	Stim	14	study	1	10	7	1680	7	-1	0	right	594407	0	1	16997	1	0	next	other	0
14	22	Picture	End_Block	End_Block											661397	0	1	345113	1	0	next	other	0
14	22	Response	1												1006369	344972	0
14	23	Picture	Break	Break											1006510	0	1	4333	1	0	next	other	0
14	23	Response	1												1010688	4178	0
14	24	Picture	ITI	ITI											1010842	0	1	10165	1	0	next	other	0
14	25	Picture	Instruction	Instruction											1021007	0	1	27162	1	0	next	other	0
14	25	Response	1												1048044	27037	0
14	26	Picture	Instruction	Instruction											1048170	0	1	80154	1	0	next	other	0
14	26	Response	1												1128195	80026	1
