Subject Id	Block Type	Block Number	Trial Number	Probe Condition	Inter-Trial Interval	Answer	Response	Score	Short Dynomometer
36	study	1	1	1	1927	1	-1	0	right
36	study	1	2	7	1935	7	-1	0	right
36	study	1	3	1	1317	1	-1	0	right
36	study	1	4	7	1623	7	-1	0	right
36	study	1	5	1	1414	1	-1	0	right
36	study	1	6	7	1542	7	-1	0	right
36	study	1	7	1	1325	1	-1	0	right
36	study	1	8	7	1250	7	-1	0	right
36	study	1	9	1	1699	1	-1	0	right
36	study	1	10	7	1262	7	-1	0	right
36	practice	1	1	2	1000	2	2	1	right
36	practice	1	2	5	1000	1	1	1	right
36	practice	1	3	4	1000	2	1	0	right
36	practice	1	4	7	1000	1	1	1	right
36	practice	1	5	1	1000	2	2	1	right
36	practice	1	6	6	1000	1	1	1	right
36	practice	1	7	3	1000	2	2	1	right
36	practice	2	1	2	1000	2	2	1	right
36	practice	2	2	5	1000	1	1	1	right
36	practice	2	3	4	1000	2	1	0	right
36	practice	2	4	7	1000	1	1	1	right
36	practice	2	5	3	1000	2	2	1	right
36	practice	2	6	6	1000	1	1	1	right
36	practice	2	7	1	1000	2	2	1	right
36	practice	3	1	3	1000	2	2	1	right
36	practice	3	2	2	1000	2	2	1	right
36	practice	3	3	5	1000	1	1	1	right
36	practice	3	4	7	1000	1	1	1	right
36	practice	3	5	6	1000	1	1	1	right
36	practice	3	6	4	1000	2	2	1	right
36	practice	3	7	1	1000	2	2	1	right
36	test	1	1	3	1940	2	2	1	right
36	test	1	2	6	1700	1	1	1	right
36	test	1	3	1	1229	2	2	1	right
36	test	1	4	4	1397	2	1	0	right
36	test	1	5	2	1604	2	2	1	right
36	test	1	6	2	1523	2	2	1	right
36	test	1	7	6	1131	1	1	1	right
36	test	1	8	7	1769	1	1	1	right
36	test	1	9	2	1318	2	2	1	right
36	test	1	10	3	1594	2	2	1	right
36	test	1	11	5	1358	1	1	1	right
36	test	1	12	5	1398	1	1	1	right
36	test	1	13	2	1142	2	2	1	right
36	test	1	14	5	1172	1	1	1	right
36	test	1	15	1	1767	2	2	1	right
36	test	1	16	5	1644	1	1	1	right
36	test	1	17	3	1925	2	2	1	right
36	test	1	18	3	1926	2	2	1	right
36	test	1	19	1	1915	2	2	1	right
36	test	1	20	2	1676	2	2	1	right
