Scenario - Bisection Task
Logfile written - 10/08/2018 11:29:44

Subject	Trial	Event Type	Code	event_cond(str)	subject_id(num)	block_name(str)	block_number(num)	trial_number(num)	probe(num)	ITI(num)	correctAns(num)	resp(num)	accuracy(num)	short(str)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

32	1	Picture	Instruction	Instruction											333	0	1	84154	1	0	next	other	0
32	1	Response	1												84365	84032	0
32	2	Picture	Stim;32;study;1;1;1;1187;1;-1;0;right	Stim	32	study	1	1	1	1187	1	-1	0	right	84487	0	1	12665	1	0	next	other	0
32	4	Picture	Stim;32;study;1;2;7;1608;7;-1;0;right	Stim	32	study	1	2	7	1608	7	-1	0	right	126480	0	1	16164	1	0	next	other	0
32	6	Picture	Stim;32;study;1;3;1;1208;1;-1;0;right	Stim	32	study	1	3	1	1208	1	-1	0	right	192637	0	1	12165	1	0	next	other	0
32	8	Picture	Stim;32;study;1;4;7;1988;7;-1;0;right	Stim	32	study	1	4	7	1988	7	-1	0	right	234797	0	1	19997	1	0	next	other	0
32	10	Picture	Stim;32;study;1;5;1;1333;1;-1;0;right	Stim	32	study	1	5	1	1333	1	-1	0	right	304786	0	1	13498	1	0	next	other	0
32	12	Picture	Stim;32;study;1;6;7;1111;7;-1;0;right	Stim	32	study	1	6	7	1111	7	-1	0	right	348279	0	1	11332	1	0	next	other	0
32	14	Picture	Stim;32;study;1;7;1;1275;1;-1;0;right	Stim	32	study	1	7	1	1275	1	-1	0	right	409436	0	1	12831	1	0	next	other	0
32	16	Picture	Stim;32;study;1;8;7;1002;7;-1;0;right	Stim	32	study	1	8	7	1002	7	-1	0	right	452263	0	1	10165	1	0	next	other	0
32	18	Picture	Stim;32;study;1;9;1;1935;1;-1;0;right	Stim	32	study	1	9	1	1935	1	-1	0	right	512420	0	1	19497	1	0	next	other	0
32	20	Picture	Stim;32;study;1;10;7;1609;7;-1;0;right	Stim	32	study	1	10	7	1609	7	-1	0	right	561913	0	1	16164	1	0	next	other	0
32	22	Picture	End_Block	End_Block											628069	0	1	69322	1	0	next	other	0
32	22	Response	1												697100	69031	1
32	23	Picture	Break	Break											697392	0	1	3666	1	0	next	other	0
