Scenario - Bisection Task
Logfile written - 10/04/2018 12:32:52

Subject	Trial	Event Type	Code	event_cond(str)	subject_id(num)	block_name(str)	block_number(num)	trial_number(num)	probe(num)	ITI(num)	correctAns(num)	resp(num)	accuracy(num)	short(str)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

23	1	Picture	Instruction	Instruction											333	0	1	92819	1	0	next	other	0
23	1	Response	1												93066	92733	0
23	2	Picture	Stim;23;study;1;1;1;1666;1;-1;0;left	Stim	23	study	1	1	1	1666	1	-1	0	left	93152	0	1	18164	1	0	next	other	0
23	4	Picture	Stim;23;study;1;2;7;1502;7;-1;0;left	Stim	23	study	1	2	7	1502	7	-1	0	left	140478	0	1	15164	1	0	next	other	0
23	6	Picture	Stim;23;study;1;3;1;1970;1;-1;0;left	Stim	23	study	1	3	1	1970	1	-1	0	left	205635	0	1	19830	1	0	next	other	0
23	8	Picture	Stim;23;study;1;4;7;1301;7;-1;0;left	Stim	23	study	1	4	7	1301	7	-1	0	left	255460	0	1	13165	1	0	next	other	0
23	10	Picture	Stim;23;study;1;5;1;1083;1;-1;0;left	Stim	23	study	1	5	1	1083	1	-1	0	left	318451	0	1	10998	1	0	next	other	0
23	12	Picture	Stim;23;study;1;6;7;1489;7;-1;0;left	Stim	23	study	1	6	7	1489	7	-1	0	left	359444	0	1	14998	1	0	next	other	0
23	14	Picture	Stim;23;study;1;7;1;1405;1;-1;0;left	Stim	23	study	1	7	1	1405	1	-1	0	left	424434	0	1	14165	1	0	next	other	0
23	16	Picture	Stim;23;study;1;8;7;1679;7;-1;0;left	Stim	23	study	1	8	7	1679	7	-1	0	left	468594	0	1	16997	1	0	next	other	0
23	18	Picture	Stim;23;study;1;9;1;1842;1;-1;0;left	Stim	23	study	1	9	1	1842	1	-1	0	left	535417	0	1	18497	1	0	next	other	0
23	20	Picture	Stim;23;study;1;10;7;1060;7;-1;0;left	Stim	23	study	1	10	7	1060	7	-1	0	left	583909	0	1	10665	1	0	next	other	0
23	22	Picture	End_Block	End_Block											644567	0	1	288955	1	0	next	other	0
23	22	Response	1												933376	288810	0
23	23	Picture	Break	Break											933522	0	1	4166	1	0	next	other	0
