Scenario - Bisection Task
Logfile written - 09/21/2018 16:02:45

Subject	Trial	Event Type	Code	event_cond(str)	subject_id(num)	block_name(str)	block_number(num)	trial_number(num)	probe(num)	ITI(num)	correctAns(num)	resp(num)	accuracy(num)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

10	1	Picture	Instruction	Instruction										167	0	1	5666	1	0	next	other	0
10	1	Response	1											5738	5572	0
10	2	Picture	Stim;10;study;1;1;1;1801;1;-1;0;right	Stim	10	study	1	1	1	1801	1	-1	0	5833	0	1	18664	1	0	next	other	0
10	4	Picture	Stim;10;study;1;2;7;1102;7;-1;0;right	Stim	10	study	1	2	7	1102	7	-1	0	53993	0	1	11165	1	0	next	other	0
10	6	Picture	Stim;10;study;1;3;1;1305;1;-1;0;right	Stim	10	study	1	3	1	1305	1	-1	0	115153	0	1	13165	1	0	next	other	0
10	8	Picture	Stim;10;study;1;4;7;1741;7;-1;0;right	Stim	10	study	1	4	7	1741	7	-1	0	158314	0	1	17498	1	0	next	other	0
10	10	Picture	Stim;10;study;1;5;1;1555;1;-1;0;right	Stim	10	study	1	5	1	1555	1	-1	0	225806	0	1	15665	1	0	next	other	0
10	12	Picture	Stim;10;study;1;6;7;1559;7;-1;0;right	Stim	10	study	1	6	7	1559	7	-1	0	271467	0	1	15665	1	0	next	other	0
10	14	Picture	Stim;10;study;1;7;1;1391;1;-1;0;right	Stim	10	study	1	7	1	1391	1	-1	0	337126	0	1	13998	1	0	next	other	0
10	16	Picture	Stim;10;study;1;8;7;1300;7;-1;0;right	Stim	10	study	1	8	7	1300	7	-1	0	381120	0	1	13165	1	0	next	other	0
10	18	Picture	Stim;10;study;1;9;1;1146;1;-1;0;right	Stim	10	study	1	9	1	1146	1	-1	0	444113	0	1	11665	1	0	next	other	0
10	20	Picture	Stim;10;study;1;10;7;1296;7;-1;0;right	Stim	10	study	1	10	7	1296	7	-1	0	485774	0	1	13165	1	0	next	other	0
10	22	Picture	End_Block	End_Block										548933	0	1	322627	1	0	next	other	0
10	22	Response	1											871355	322422	1
10	23	Picture	Break	Break										871561	0	1	7832	1	0	next	other	0
10	23	Response	1											879274	7714	0
10	24	Picture	ITI	ITI										879393	0	1	10165	1	0	next	other	0
10	25	Picture	Instruction	Instruction										889558	0	1	6333	1	0	next	other	0
10	25	Response	1											895673	6114	0
10	26	Picture	Instruction	Instruction										895891	0	1	58160	1	0	next	other	0
10	26	Response	1											953989	58098	0
10	27	Picture	Stim;10;practice;1;1;4;1000;2;1;0;right	Stim	10	practice	1	1	4	1000	2	1	0	954051	0	1	10165	1	0	next	other	0
10	29	Picture	Feedback	Feedback										1001545	0	1	7165	2	0	next	other	0
10	30	Picture	Stim;10;practice;1;2;5;1000;1;1;1;right	Stim	10	practice	1	2	5	1000	1	1	1	1008709	0	2	10167	2	0	next	other	0
10	32	Picture	Feedback	Feedback										1059704	0	1	7166	1	0	next	other	0
10	33	Picture	Stim;10;practice;1;3;6;1000;1;1;1;right	Stim	10	practice	1	3	6	1000	1	1	1	1066870	0	1	10165	1	0	next	other	0
10	35	Picture	Feedback	Feedback										1121863	0	1	7166	1	0	next	other	0
10	36	Picture	Stim;10;practice;1;4;2;1000;2;1;0;right	Stim	10	practice	1	4	2	1000	2	1	0	1129029	0	1	10165	1	0	next	other	0
10	38	Picture	Feedback	Feedback										1171191	0	1	7166	1	0	next	other	0
10	39	Picture	Stim;10;practice;1;5;1;1000;2;1;0;right	Stim	10	practice	1	5	1	1000	2	1	0	1178357	0	1	10165	1	0	next	other	0
10	41	Picture	Feedback	Feedback										1218518	0	1	7166	1	0	next	other	0
10	42	Picture	Stim;10;practice;1;6;3;1000;2;1;0;right	Stim	10	practice	1	6	3	1000	2	1	0	1225684	0	1	10165	1	0	next	other	0
10	44	Picture	Feedback	Feedback										1270179	0	1	7166	1	0	next	other	0
10	45	Picture	Stim;10;practice;1;7;7;1000;1;1;1;right	Stim	10	practice	1	7	7	1000	1	1	1	1277345	0	1	10165	1	0	next	other	0
10	47	Picture	Feedback	Feedback										1337337	0	1	7166	1	0	next	other	0
10	48	Picture	Stim;10;practice;2;1;5;1000;1;1;1;right	Stim	10	practice	2	1	5	1000	1	1	1	1344503	0	1	10165	1	0	next	other	0
10	50	Picture	Feedback	Feedback										1395330	0	1	7166	1	0	next	other	0
10	51	Picture	Stim;10;practice;2;2;3;1000;2;1;0;right	Stim	10	practice	2	2	3	1000	2	1	0	1402496	0	1	10166	1	0	next	other	0
10	53	Picture	Feedback	Feedback										1446990	0	1	7166	1	0	next	other	0
10	54	Picture	Stim;10;practice;2;3;7;1000;1;1;1;right	Stim	10	practice	2	3	7	1000	1	1	1	1454156	0	1	10165	1	0	next	other	0
10	56	Picture	Feedback	Feedback										1514149	0	1	7166	1	0	next	other	0
10	57	Picture	Stim;10;practice;2;4;2;1000;2;1;0;right	Stim	10	practice	2	4	2	1000	2	1	0	1521315	0	1	10165	1	0	next	other	0
10	59	Picture	Feedback	Feedback										1563476	0	1	7166	1	0	next	other	0
10	60	Picture	Stim;10;practice;2;5;4;1000;2;1;0;right	Stim	10	practice	2	5	4	1000	2	1	0	1570642	0	1	10165	1	0	next	other	0
10	62	Picture	Feedback	Feedback										1618136	0	1	7166	1	0	next	other	0
10	63	Picture	Stim;10;practice;2;6;1;1000;2;2;1;right	Stim	10	practice	2	6	1	1000	2	2	1	1625302	0	1	10165	1	0	next	other	0
10	65	Picture	Feedback	Feedback										1665464	0	1	7166	1	0	next	other	0
10	66	Picture	Stim;10;practice;2;7;6;1000;1;1;1;right	Stim	10	practice	2	7	6	1000	1	1	1	1672630	0	1	10165	1	0	next	other	0
10	68	Picture	Feedback	Feedback										1727623	0	1	7166	1	0	next	other	0
10	69	Picture	Stim;10;practice;3;1;6;1000;1;1;1;right	Stim	10	practice	3	1	6	1000	1	1	1	1734789	0	1	10165	1	0	next	other	0
10	71	Picture	Feedback	Feedback										1789782	0	1	7166	1	0	next	other	0
10	72	Picture	Stim;10;practice;3;2;7;1000;1;1;1;right	Stim	10	practice	3	2	7	1000	1	1	1	1796948	0	1	10165	1	0	next	other	0
10	74	Picture	Feedback	Feedback										1856941	0	1	7166	1	0	next	other	0
10	75	Picture	Stim;10;practice;3;3;1;1000;2;2;1;right	Stim	10	practice	3	3	1	1000	2	2	1	1864106	0	1	10165	1	0	next	other	0
10	77	Picture	Feedback	Feedback										1904268	0	1	7166	1	0	next	other	0
10	78	Picture	Stim;10;practice;3;4;5;1000;1;1;1;right	Stim	10	practice	3	4	5	1000	1	1	1	1911434	0	1	10165	1	0	next	other	0
10	80	Picture	Feedback	Feedback										1962261	0	1	7166	1	0	next	other	0
10	81	Picture	Stim;10;practice;3;5;4;1000;2;1;0;right	Stim	10	practice	3	5	4	1000	2	1	0	1969427	0	1	10165	1	0	next	other	0
10	83	Picture	Feedback	Feedback										2016921	0	1	7166	1	0	next	other	0
10	84	Picture	Stim;10;practice;3;6;3;1000;2;1;0;right	Stim	10	practice	3	6	3	1000	2	1	0	2024087	0	1	10165	1	0	next	other	0
10	86	Picture	Feedback	Feedback										2068581	0	1	7166	1	0	next	other	0
10	87	Picture	Stim;10;practice;3;7;2;1000;2;1;0;right	Stim	10	practice	3	7	2	1000	2	1	0	2075747	0	1	10165	1	0	next	other	0
10	89	Picture	Feedback	Feedback										2117909	0	1	7166	1	0	next	other	0
10	90	Picture	Instruction	Instruction										2125075	0	1	64325	1	0	next	other	0
10	90	Response	1											2189258	64184	0
10	91	Picture	Stim;10;practice;1;1;1;1000;2;0;0;right	Stim	10	practice	1	1	1	1000	2	0	0	2189400	0	1	10165	1	0	next	other	0
10	93	Picture	Feedback	Feedback										2229562	0	1	7166	1	0	next	other	0
10	94	Picture	Stim;10;practice;1;2;7;1000;1;1;1;right	Stim	10	practice	1	2	7	1000	1	1	1	2236728	0	1	10165	1	0	next	other	0
10	96	Picture	Feedback	Feedback										2296720	0	1	7166	1	0	next	other	0
10	97	Picture	Stim;10;practice;1;3;3;1000;2;1;0;right	Stim	10	practice	1	3	3	1000	2	1	0	2303886	0	1	10165	1	0	next	other	0
10	99	Picture	Feedback	Feedback										2348381	0	1	7166	1	0	next	other	0
10	100	Picture	Stim;10;practice;1;4;5;1000;1;1;1;right	Stim	10	practice	1	4	5	1000	1	1	1	2355546	0	1	10165	1	0	next	other	0
10	102	Picture	Feedback	Feedback										2406374	0	1	7166	1	0	next	other	0
10	103	Picture	Stim;10;practice;1;5;4;1000;2;1;0;right	Stim	10	practice	1	5	4	1000	2	1	0	2413539	0	1	10166	1	0	next	other	0
10	105	Picture	Feedback	Feedback										2461034	0	1	7166	1	0	next	other	0
10	106	Picture	Stim;10;practice;1;6;2;1000;2;1;0;right	Stim	10	practice	1	6	2	1000	2	1	0	2468199	0	1	10165	1	0	next	other	0
10	108	Picture	Feedback	Feedback										2510361	0	1	7166	1	0	next	other	0
10	109	Picture	Stim;10;practice;1;7;6;1000;1;1;1;right	Stim	10	practice	1	7	6	1000	1	1	1	2517527	0	1	10165	1	0	next	other	0
10	111	Picture	Feedback	Feedback										2572520	0	1	7166	1	0	next	other	0
10	112	Picture	Stim;10;practice;2;1;7;1000;1;1;1;right	Stim	10	practice	2	1	7	1000	1	1	1	2579686	0	1	10165	1	0	next	other	0
10	114	Picture	Feedback	Feedback										2639678	0	1	7166	1	0	next	other	0
10	115	Picture	Stim;10;practice;2;2;2;1000;2;2;1;right	Stim	10	practice	2	2	2	1000	2	2	1	2646844	0	1	10165	1	0	next	other	0
10	117	Picture	Feedback	Feedback										2689006	0	1	7166	1	0	next	other	0
10	118	Picture	Stim;10;practice;2;3;4;1000;2;1;0;right	Stim	10	practice	2	3	4	1000	2	1	0	2696172	0	1	10165	1	0	next	other	0
10	120	Picture	Feedback	Feedback										2743666	0	1	7166	1	0	next	other	0
10	121	Picture	Stim;10;practice;2;4;1;1000;2;2;1;right	Stim	10	practice	2	4	1	1000	2	2	1	2750831	0	1	10165	1	0	next	other	0
10	123	Picture	Feedback	Feedback										2790993	0	1	7166	1	0	next	other	0
10	124	Picture	Stim;10;practice;2;5;5;1000;1;1;1;right	Stim	10	practice	2	5	5	1000	1	1	1	2798159	0	1	10165	1	0	next	other	0
10	126	Picture	Feedback	Feedback										2848986	0	1	7166	1	0	next	other	0
10	127	Picture	Stim;10;practice;2;6;3;1000;2;1;0;right	Stim	10	practice	2	6	3	1000	2	1	0	2856152	0	1	10165	1	0	next	other	0
10	129	Picture	Feedback	Feedback										2900647	0	1	7166	1	0	next	other	0
10	130	Picture	Stim;10;practice;2;7;6;1000;1;1;1;right	Stim	10	practice	2	7	6	1000	1	1	1	2907812	0	1	10165	1	0	next	other	0
10	132	Picture	Feedback	Feedback										2962806	0	1	7166	1	0	next	other	0
10	133	Picture	Stim;10;practice;3;1;5;1000;1;1;1;right	Stim	10	practice	3	1	5	1000	1	1	1	2969971	0	1	10165	1	0	next	other	0
10	135	Picture	Feedback	Feedback										3020798	0	1	7166	1	0	next	other	0
10	136	Picture	Stim;10;practice;3;2;6;1000;1;1;1;right	Stim	10	practice	3	2	6	1000	1	1	1	3027964	0	1	10166	1	0	next	other	0
10	138	Picture	Feedback	Feedback										3082958	0	1	7166	1	0	next	other	0
10	139	Picture	Stim;10;practice;3;3;1;1000;2;2;1;right	Stim	10	practice	3	3	1	1000	2	2	1	3090123	0	1	10165	1	0	next	other	0
10	141	Picture	Feedback	Feedback										3130285	0	1	7166	1	0	next	other	0
10	142	Picture	Stim;10;practice;3;4;2;1000;2;2;1;right	Stim	10	practice	3	4	2	1000	2	2	1	3137451	0	1	10165	1	0	next	other	0
10	144	Picture	Feedback	Feedback										3179612	0	1	7166	1	0	next	other	0
10	145	Picture	Stim;10;practice;3;5;4;1000;2;1;0;right	Stim	10	practice	3	5	4	1000	2	1	0	3186778	0	1	10165	1	0	next	other	0
10	147	Picture	Feedback	Feedback										3234272	0	1	7166	1	0	next	other	0
10	148	Picture	Stim;10;practice;3;6;7;1000;1;1;1;right	Stim	10	practice	3	6	7	1000	1	1	1	3241438	0	1	10165	1	0	next	other	0
10	150	Picture	Feedback	Feedback										3301431	0	1	7166	1	0	next	other	0
10	151	Picture	Stim;10;practice;3;7;3;1000;2;1;0;right	Stim	10	practice	3	7	3	1000	2	1	0	3308597	0	1	10165	1	0	next	other	0
10	153	Picture	Feedback	Feedback										3353091	0	1	7166	1	0	next	other	0
10	154	Picture	Instruction	Instruction										3360257	0	1	287965	1	0	next	other	0
10	154	Response	1											3648112	287855	1
10	155	Picture	Stim;10;practice;1;1;2;1000;2;1;0;right	Stim	10	practice	1	1	2	1000	2	1	0	3648222	0	1	10165	1	0	next	other	0
10	157	Picture	Feedback	Feedback										3690383	0	1	7166	1	0	next	other	0
10	158	Picture	Stim;10;practice;1;2;7;1000;1;1;1;right	Stim	10	practice	1	2	7	1000	1	1	1	3697549	0	1	10165	1	0	next	other	0
10	160	Picture	Feedback	Feedback										3757542	0	1	7166	1	0	next	other	0
10	161	Picture	Stim;10;practice;1;3;3;1000;2;1;0;right	Stim	10	practice	1	3	3	1000	2	1	0	3764708	0	1	10165	1	0	next	other	0
10	163	Picture	Feedback	Feedback										3809202	0	1	7166	1	0	next	other	0
10	164	Picture	Stim;10;practice;1;4;6;1000;1;1;1;right	Stim	10	practice	1	4	6	1000	1	1	1	3816368	0	1	10165	1	0	next	other	0
10	166	Picture	Feedback	Feedback										3871361	0	1	7166	1	0	next	other	0
10	167	Picture	Stim;10;practice;1;5;1;1000;2;2;1;right	Stim	10	practice	1	5	1	1000	2	2	1	3878527	0	1	10165	1	0	next	other	0
10	169	Picture	Feedback	Feedback										3918689	0	1	7166	1	0	next	other	0
10	170	Picture	Stim;10;practice;1;6;5;1000;1;1;1;right	Stim	10	practice	1	6	5	1000	1	1	1	3925855	0	1	10165	1	0	next	other	0
10	172	Picture	Feedback	Feedback										3976682	0	1	7166	1	0	next	other	0
10	173	Picture	Stim;10;practice;1;7;4;1000;2;2;1;right	Stim	10	practice	1	7	4	1000	2	2	1	3983848	0	1	10165	1	0	next	other	0
10	175	Picture	Feedback	Feedback										4031342	0	1	7166	1	0	next	other	0
10	176	Picture	Stim;10;practice;2;1;5;1000;1;1;1;right	Stim	10	practice	2	1	5	1000	1	1	1	4038508	0	1	10165	1	0	next	other	0
10	178	Picture	Feedback	Feedback										4089335	0	1	7166	1	0	next	other	0
10	179	Picture	Stim;10;practice;2;2;2;1000;2;2;1;right	Stim	10	practice	2	2	2	1000	2	2	1	4096501	0	1	10165	1	0	next	other	0
10	181	Picture	Feedback	Feedback										4138662	0	1	7166	1	0	next	other	0
10	182	Picture	Stim;10;practice;2;3;3;1000;2;1;0;right	Stim	10	practice	2	3	3	1000	2	1	0	4145828	0	1	10165	1	0	next	other	0
10	184	Picture	Feedback	Feedback										4190322	0	1	7166	1	0	next	other	0
