Subject Id	Block Type	Block Number	Trial Number	Probe Condition	Inter-Trial Interval	Answer	Response	Score	Short Dynomometer
39	study	1	1	1	1996	1	-1	0	left
39	study	1	2	7	1713	7	-1	0	left
39	study	1	3	1	1080	1	-1	0	left
39	study	1	4	7	1864	7	-1	0	left
39	study	1	5	1	1419	1	-1	0	left
39	study	1	6	7	1978	7	-1	0	left
39	study	1	7	1	1057	1	-1	0	left
39	study	1	8	7	1122	7	-1	0	left
39	study	1	9	1	1978	1	-1	0	left
39	study	1	10	7	1163	7	-1	0	left
39	practice	1	1	2	1000	1	1	1	left
39	practice	1	2	4	1000	1	2	0	left
39	practice	1	3	1	1000	1	1	1	left
39	practice	1	4	7	1000	2	2	1	left
39	practice	1	5	6	1000	2	2	1	left
39	practice	1	6	5	1000	2	2	1	left
39	practice	1	7	3	1000	1	1	1	left
39	practice	2	1	6	1000	2	2	1	left
39	practice	2	2	5	1000	2	2	1	left
39	practice	2	3	2	1000	1	1	1	left
39	practice	2	4	4	1000	1	2	0	left
39	practice	2	5	1	1000	1	1	1	left
39	practice	2	6	3	1000	1	0	0	left
39	practice	2	7	7	1000	2	2	1	left
39	practice	3	1	2	1000	1	1	1	left
39	practice	3	2	7	1000	2	2	1	left
39	practice	3	3	5	1000	2	2	1	left
39	practice	3	4	3	1000	1	2	0	left
39	practice	3	5	1	1000	1	1	1	left
39	practice	3	6	4	1000	1	2	0	left
39	practice	3	7	6	1000	2	2	1	left
39	test	1	1	7	1970	2	2	1	left
39	test	1	2	7	1024	2	2	1	left
39	test	1	3	5	1554	2	2	1	left
39	test	1	4	6	1914	2	2	1	left
39	test	1	5	6	1202	2	2	1	left
39	test	1	6	3	1940	1	1	1	left
39	test	1	7	2	1037	1	1	1	left
39	test	1	8	4	1714	1	2	0	left
39	test	1	9	4	1295	1	2	0	left
39	test	1	10	6	1908	2	2	1	left
39	test	1	11	5	1651	2	2	1	left
39	test	1	12	4	1572	1	1	1	left
39	test	1	13	7	1291	2	2	1	left
39	test	1	14	2	1979	1	1	1	left
39	test	1	15	7	1059	2	2	1	left
39	test	1	16	4	1865	1	1	1	left
39	test	1	17	1	1415	1	1	1	left
39	test	1	18	1	1386	1	1	1	left
39	test	1	19	4	1120	1	2	0	left
39	test	1	20	3	1997	1	2	0	left
39	test	1	21	1	1855	1	1	1	left
39	test	1	22	2	1180	1	1	1	left
39	test	1	23	2	1332	1	1	1	left
39	test	1	24	6	1989	2	2	1	left
39	test	1	25	1	1827	1	1	1	left
39	test	1	26	5	1985	2	2	1	left
39	test	1	27	7	1332	2	2	1	left
39	test	1	28	3	1632	1	1	1	left
39	test	1	29	4	1567	1	1	1	left
39	test	1	30	2	1969	1	1	1	left
39	test	1	31	5	1043	2	2	1	left
39	test	1	32	3	1634	1	1	1	left
39	test	1	33	6	1745	2	2	1	left
39	test	1	34	4	1097	1	2	0	left
39	test	1	35	5	1785	2	2	1	left
39	test	1	36	2	1766	1	1	1	left
39	test	1	37	1	1001	1	1	1	left
39	test	1	38	6	1549	2	2	1	left
39	test	1	39	7	1953	2	2	1	left
39	test	1	40	6	1158	2	2	1	left
39	test	1	41	2	1698	1	1	1	left
39	test	1	42	3	1214	1	1	1	left
39	test	1	43	7	1923	2	2	1	left
39	test	1	44	1	1929	1	1	1	left
39	test	1	45	3	1582	1	1	1	left
39	test	1	46	3	1436	1	1	1	left
39	test	1	47	5	1834	2	2	1	left
39	test	1	48	5	1650	2	2	1	left
39	test	1	49	1	1482	1	1	1	left
39	test	2	1	4	1734	1	2	0	left
39	test	2	2	6	1694	2	2	1	left
39	test	2	3	7	1133	2	2	1	left
39	test	2	4	4	1548	1	2	0	left
39	test	2	5	7	1531	2	2	1	left
39	test	2	6	2	1161	1	1	1	left
39	test	2	7	2	1303	1	1	1	left
39	test	2	8	5	1246	2	2	1	left
39	test	2	9	6	1585	2	2	1	left
39	test	2	10	3	1423	1	1	1	left
39	test	2	11	4	1234	1	2	0	left
39	test	2	12	3	1630	1	1	1	left
39	test	2	13	3	1025	1	1	1	left
39	test	2	14	7	1787	2	2	1	left
39	test	2	15	7	1318	2	2	1	left
39	test	2	16	6	1569	2	2	1	left
39	test	2	17	5	1592	2	2	1	left
39	test	2	18	7	1513	2	2	1	left
39	test	2	19	3	1922	1	1	1	left
39	test	2	20	2	1680	1	1	1	left
39	test	2	21	1	1275	1	1	1	left
39	test	2	22	1	1014	1	1	1	left
39	test	2	23	3	1908	1	1	1	left
39	test	2	24	6	1194	2	2	1	left
39	test	2	25	2	1109	1	1	1	left
39	test	2	26	7	1581	2	2	1	left
39	test	2	27	5	1382	2	2	1	left
39	test	2	28	2	1267	1	1	1	left
39	test	2	29	3	1956	1	1	1	left
39	test	2	30	1	1710	1	1	1	left
39	test	2	31	4	1659	1	2	0	left
39	test	2	32	4	1648	1	2	0	left
39	test	2	33	2	1072	1	1	1	left
39	test	2	34	4	1706	1	2	0	left
39	test	2	35	1	1293	1	1	1	left
39	test	2	36	5	1195	2	2	1	left
39	test	2	37	5	1049	2	2	1	left
39	test	2	38	4	1436	1	2	0	left
39	test	2	39	5	1353	2	2	1	left
39	test	2	40	3	1554	1	2	0	left
39	test	2	41	5	1135	2	2	1	left
39	test	2	42	1	1017	1	1	1	left
39	test	2	43	6	1867	2	2	1	left
39	test	2	44	6	1032	2	2	1	left
39	test	2	45	1	1987	1	1	1	left
39	test	2	46	7	1039	2	2	1	left
39	test	2	47	1	1358	1	1	1	left
39	test	2	48	2	1545	1	1	1	left
39	test	2	49	6	1409	2	2	1	left
39	test	3	1	4	1024	1	1	1	left
39	test	3	2	6	1991	2	2	1	left
39	test	3	3	2	1779	1	1	1	left
39	test	3	4	2	1471	1	1	1	left
39	test	3	5	6	1432	2	2	1	left
39	test	3	6	7	1447	2	2	1	left
39	test	3	7	1	1654	1	1	1	left
39	test	3	8	5	1247	2	2	1	left
39	test	3	9	1	1745	1	1	1	left
39	test	3	10	7	1647	2	2	1	left
39	test	3	11	7	1289	2	2	1	left
39	test	3	12	3	1633	1	2	0	left
39	test	3	13	4	1805	1	2	0	left
39	test	3	14	5	1712	2	2	1	left
39	test	3	15	2	1272	1	1	1	left
39	test	3	16	4	1397	1	2	0	left
39	test	3	17	2	1238	1	1	1	left
39	test	3	18	5	1286	2	2	1	left
39	test	3	19	3	1913	1	1	1	left
39	test	3	20	6	1639	2	2	1	left
39	test	3	21	1	1344	1	1	1	left
39	test	3	22	3	1633	1	1	1	left
39	test	3	23	2	1581	1	1	1	left
39	test	3	24	1	1063	1	1	1	left
39	test	3	25	2	1071	1	1	1	left
39	test	3	26	7	1832	2	2	1	left
39	test	3	27	6	1564	2	2	1	left
39	test	3	28	5	1547	2	2	1	left
39	test	3	29	4	1229	1	2	0	left
39	test	3	30	3	1595	1	2	0	left
39	test	3	31	5	1023	2	2	1	left
39	test	3	32	6	1474	2	2	1	left
39	test	3	33	3	1811	1	1	1	left
39	test	3	34	7	1941	2	2	1	left
39	test	3	35	5	1061	2	2	1	left
39	test	3	36	5	1431	2	2	1	left
39	test	3	37	7	1593	2	2	1	left
39	test	3	38	2	1090	1	2	0	left
39	test	3	39	3	1832	1	1	1	left
39	test	3	40	3	1000	1	1	1	left
39	test	3	41	1	1818	1	1	1	left
39	test	3	42	1	1930	1	1	1	left
39	test	3	43	4	1294	1	1	1	left
39	test	3	44	1	1513	1	0	0	left
