Subject Id	Block Type	Block Number	Trial Number	Probe Condition	Inter-Trial Interval	Answer	Response	Score	Short Dynomometer
37	study	1	1	1	1459	1	-1	0	left
37	study	1	2	7	1179	7	-1	0	left
37	study	1	3	1	1545	1	-1	0	left
37	study	1	4	7	1254	7	-1	0	left
37	study	1	5	1	1144	1	-1	0	left
37	study	1	6	7	1542	7	-1	0	left
37	study	1	7	1	1854	1	-1	0	left
37	study	1	8	7	1452	7	-1	0	left
37	study	1	9	1	1243	1	-1	0	left
37	study	1	10	7	1258	7	-1	0	left
37	practice	1	1	7	1000	2	2	1	left
37	practice	1	2	6	1000	2	2	1	left
37	practice	1	3	1	1000	1	1	1	left
37	practice	1	4	3	1000	1	1	1	left
37	practice	1	5	4	1000	1	1	1	left
37	practice	1	6	2	1000	1	1	1	left
37	practice	1	7	5	1000	2	2	1	left
37	practice	2	1	7	1000	2	2	1	left
37	practice	2	2	5	1000	2	1	0	left
37	practice	2	3	6	1000	2	2	1	left
37	practice	2	4	1	1000	1	1	1	left
37	practice	2	5	4	1000	1	1	1	left
37	practice	2	6	2	1000	1	1	1	left
37	practice	2	7	3	1000	1	1	1	left
37	practice	3	1	6	1000	2	2	1	left
37	practice	3	2	7	1000	2	2	1	left
37	practice	3	3	3	1000	1	1	1	left
37	practice	3	4	5	1000	2	2	1	left
37	practice	3	5	4	1000	1	0	0	left
37	practice	3	6	2	1000	1	0	0	left
37	practice	3	7	1	1000	1	1	1	left
37	test	1	1	5	1732	2	2	1	left
37	test	1	2	3	1770	1	1	1	left
37	test	1	3	2	1027	1	1	1	left
37	test	1	4	5	1591	2	2	1	left
37	test	1	5	7	1542	2	2	1	left
37	test	1	6	5	1121	2	2	1	left
37	test	1	7	1	1135	1	0	0	left
37	test	1	8	1	1248	1	0	0	left
37	test	1	9	4	1884	1	2	0	left
37	test	1	10	6	1230	2	2	1	left
37	test	1	11	6	1766	2	2	1	left
37	test	1	12	3	1246	1	0	0	left
37	test	1	13	3	1541	1	0	0	left
37	test	1	14	7	1540	2	2	1	left
37	test	1	15	6	1871	2	2	1	left
37	test	1	16	2	1452	1	1	1	left
37	test	1	17	7	1813	2	2	1	left
37	test	1	18	3	1625	1	0	0	left
37	test	1	19	1	1800	1	0	0	left
37	test	1	20	5	1380	2	2	1	left
37	test	1	21	5	1981	2	2	1	left
37	test	1	22	4	1428	1	2	0	left
37	test	1	23	4	1773	1	1	1	left
37	test	1	24	2	1590	1	0	0	left
37	test	1	25	3	1087	1	1	1	left
37	test	1	26	5	1844	2	2	1	left
37	test	1	27	2	1918	1	0	0	left
37	test	1	28	4	1840	1	2	0	left
37	test	1	29	1	1419	1	0	0	left
37	test	1	30	6	1513	2	2	1	left
37	test	1	31	5	1364	2	2	1	left
37	test	1	32	6	1690	2	2	1	left
37	test	1	33	1	1068	1	0	0	left
37	test	1	34	7	1524	2	2	1	left
37	test	1	35	1	1476	1	1	1	left
37	test	1	36	3	1637	1	0	0	left
37	test	1	37	6	1433	2	2	1	left
37	test	1	38	7	1245	2	2	1	left
37	test	1	39	7	1419	2	2	1	left
37	test	1	40	2	1469	1	1	1	left
37	test	1	41	1	1267	1	1	1	left
37	test	1	42	2	1641	1	0	0	left
37	test	1	43	2	1495	1	0	0	left
37	test	1	44	6	1306	2	2	1	left
37	test	1	45	4	1309	1	2	0	left
37	test	1	46	7	1791	2	2	1	left
37	test	1	47	4	1126	1	0	0	left
37	test	1	48	3	1383	1	0	0	left
37	test	1	49	4	1563	1	0	0	left
37	test	2	1	4	1190	1	1	1	left
37	test	2	2	4	1205	1	1	1	left
37	test	2	3	2	1791	1	0	0	left
37	test	2	4	7	1502	2	2	1	left
37	test	2	5	5	1739	2	2	1	left
37	test	2	6	5	1567	2	2	1	left
37	test	2	7	6	1552	2	2	1	left
37	test	2	8	3	1708	1	0	0	left
37	test	2	9	4	1762	1	2	0	left
37	test	2	10	7	1139	2	2	1	left
37	test	2	11	4	1016	1	2	0	left
37	test	2	12	6	1276	2	2	1	left
37	test	2	13	1	1781	1	0	0	left
37	test	2	14	3	1136	1	0	0	left
37	test	2	15	2	1043	1	0	0	left
37	test	2	16	1	1704	1	0	0	left
37	test	2	17	4	1259	1	2	0	left
37	test	2	18	3	1231	1	0	0	left
37	test	2	19	7	1045	2	2	1	left
37	test	2	20	3	1339	1	0	0	left
37	test	2	21	3	1849	1	0	0	left
37	test	2	22	5	1353	2	2	1	left
37	test	2	23	7	1156	2	2	1	left
37	test	2	24	7	1480	2	2	1	left
37	test	2	25	6	1007	2	2	1	left
37	test	2	26	5	1914	2	2	1	left
37	test	2	27	3	1925	1	0	0	left
37	test	2	28	1	1002	1	0	0	left
37	test	2	29	5	1261	2	2	1	left
37	test	2	30	1	1866	1	0	0	left
37	test	2	31	1	1765	1	0	0	left
37	test	2	32	7	1217	2	2	1	left
37	test	2	33	2	1845	1	0	0	left
37	test	2	34	5	1586	2	0	0	left
37	test	2	35	2	1802	1	0	0	left
37	test	2	36	6	1424	2	2	1	left
37	test	2	37	2	1224	1	0	0	left
37	test	2	38	3	1557	1	0	0	left
37	test	2	39	6	1931	2	2	1	left
37	test	2	40	4	1697	1	0	0	left
37	test	2	41	5	1620	2	2	1	left
37	test	2	42	4	1882	1	0	0	left
37	test	2	43	1	1983	1	0	0	left
37	test	2	44	6	1604	2	2	1	left
37	test	2	45	6	1210	2	2	1	left
37	test	2	46	7	1827	2	2	1	left
37	test	2	47	1	1422	1	0	0	left
37	test	2	48	2	1767	1	0	0	left
37	test	2	49	2	1740	1	0	0	left
37	test	3	1	7	1170	2	2	1	left
37	test	3	2	2	1448	1	0	0	left
37	test	3	3	6	1331	2	2	1	left
37	test	3	4	7	1281	2	2	1	left
37	test	3	5	3	1244	1	0	0	left
37	test	3	6	1	1856	1	2	0	left
37	test	3	7	3	1155	1	1	1	left
37	test	3	8	4	1243	1	0	0	left
37	test	3	9	4	1723	1	0	0	left
37	test	3	10	3	1510	1	0	0	left
37	test	3	11	5	1707	2	2	1	left
37	test	3	12	7	1323	2	2	1	left
37	test	3	13	5	1945	2	2	1	left
37	test	3	14	4	1376	1	2	0	left
37	test	3	15	1	1182	1	0	0	left
37	test	3	16	4	1384	1	2	0	left
37	test	3	17	7	1528	2	2	1	left
37	test	3	18	7	1613	2	2	1	left
37	test	3	19	6	1963	2	2	1	left
37	test	3	20	4	1264	1	2	0	left
37	test	3	21	6	1555	2	2	1	left
37	test	3	22	1	1650	1	0	0	left
37	test	3	23	2	1282	1	0	0	left
37	test	3	24	5	1196	2	2	1	left
37	test	3	25	5	1344	2	2	1	left
37	test	3	26	1	1893	1	0	0	left
37	test	3	27	7	1392	2	2	1	left
37	test	3	28	4	1409	1	0	0	left
37	test	3	29	5	1660	2	2	1	left
37	test	3	30	6	1032	2	2	1	left
37	test	3	31	3	1641	1	1	1	left
37	test	3	32	6	1935	2	2	1	left
37	test	3	33	6	1573	2	2	1	left
37	test	3	34	5	1434	2	2	1	left
37	test	3	35	2	1196	1	0	0	left
37	test	3	36	4	1862	1	2	0	left
37	test	3	37	2	1557	1	0	0	left
37	test	3	38	1	1009	1	1	1	left
37	test	3	39	5	1502	2	2	1	left
37	test	3	40	3	1410	1	1	1	left
37	test	3	41	3	1245	1	0	0	left
37	test	3	42	2	1619	1	1	1	left
37	test	3	43	3	1859	1	0	0	left
37	test	3	44	7	1695	2	2	1	left
37	test	3	45	1	1543	1	0	0	left
37	test	3	46	1	1872	1	1	1	left
37	test	3	47	6	1350	2	2	1	left
37	test	3	48	2	1862	1	1	1	left
37	test	3	49	2	1627	1	0	0	left
37	test	4	1	7	1741	2	2	1	left
37	test	4	2	2	1476	1	0	0	left
37	test	4	3	7	1190	2	2	1	left
37	test	4	4	3	1783	1	0	0	left
37	test	4	5	1	1445	1	1	1	left
37	test	4	6	7	1734	2	2	1	left
37	test	4	7	6	1938	2	2	1	left
37	test	4	8	3	1559	1	1	1	left
37	test	4	9	5	1932	2	2	1	left
37	test	4	10	4	1970	1	0	0	left
37	test	4	11	4	1324	1	2	0	left
37	test	4	12	6	1099	2	2	1	left
37	test	4	13	4	1761	1	2	0	left
37	test	4	14	5	1115	2	2	1	left
37	test	4	15	7	1558	2	2	1	left
37	test	4	16	7	1125	2	2	1	left
37	test	4	17	4	1272	1	0	0	left
37	test	4	18	2	1154	1	1	1	left
37	test	4	19	1	1435	1	0	0	left
37	test	4	20	5	1241	2	2	1	left
37	test	4	21	2	1958	1	0	0	left
37	test	4	22	6	1006	2	2	1	left
37	test	4	23	5	1042	2	2	1	left
37	test	4	24	5	1430	2	2	1	left
37	test	4	25	6	1492	2	2	1	left
37	test	4	26	2	1760	1	0	0	left
37	test	4	27	5	1760	2	2	1	left
37	test	4	28	1	1897	1	0	0	left
37	test	4	29	3	1333	1	2	0	left
37	test	4	30	3	1909	1	0	0	left
37	test	4	31	7	1699	2	2	1	left
37	test	4	32	1	1134	1	0	0	left
37	test	4	33	1	1335	1	1	1	left
37	test	4	34	6	1451	2	2	1	left
37	test	4	35	1	1198	1	1	1	left
37	test	4	36	4	1179	1	2	0	left
37	test	4	37	1	1845	1	1	1	left
37	test	4	38	2	1558	1	0	0	left
37	test	4	39	2	1940	1	1	1	left
37	test	4	40	3	1266	1	2	0	left
37	test	4	41	4	1858	1	2	0	left
37	test	4	42	3	1582	1	1	1	left
37	test	4	43	2	1156	1	1	1	left
37	test	4	44	4	1252	1	2	0	left
37	test	4	45	7	1000	2	2	1	left
37	test	4	46	5	1204	2	2	1	left
37	test	4	47	3	1274	1	2	0	left
37	test	4	48	6	1726	2	2	1	left
37	test	4	49	6	1953	2	2	1	left

