Subject Id	Block Type	Block Number	Trial Number	Probe Condition	Inter-Trial Interval	Answer	Response	Score	Short Dynomometer
28	study	1	1	1	1331	1	-1	0	right
28	study	1	2	7	1108	7	-1	0	right
28	study	1	3	1	1202	1	-1	0	right
28	study	1	4	7	1692	7	-1	0	right
28	study	1	5	1	1437	1	-1	0	right
28	study	1	6	7	1140	7	-1	0	right
28	study	1	7	1	1675	1	-1	0	right
28	study	1	8	7	1964	7	-1	0	right
28	study	1	9	1	1140	1	-1	0	right
28	study	1	10	7	1762	7	-1	0	right
28	practice	1	1	2	1000	2	1	0	right
28	practice	1	2	5	1000	1	1	1	right
28	practice	1	3	4	1000	2	1	0	right
28	practice	1	4	3	1000	2	2	1	right
28	practice	1	5	7	1000	1	1	1	right
28	practice	1	6	1	1000	2	2	1	right
28	practice	1	7	6	1000	1	1	1	right
28	practice	2	1	1	1000	2	0	0	right
28	practice	2	2	2	1000	2	2	1	right
28	practice	2	3	4	1000	2	1	0	right
28	practice	2	4	5	1000	1	1	1	right
28	practice	2	5	7	1000	1	1	1	right
28	practice	2	6	6	1000	1	1	1	right
28	practice	2	7	3	1000	2	2	1	right
28	practice	3	1	3	1000	2	2	1	right
28	practice	3	2	6	1000	1	1	1	right
28	practice	3	3	2	1000	2	2	1	right
28	practice	3	4	5	1000	1	1	1	right
28	practice	3	5	1	1000	2	2	1	right
28	practice	3	6	4	1000	2	2	1	right
28	practice	3	7	7	1000	1	1	1	right
28	practice	1	1	6	1000	1	1	1	right
28	practice	1	2	2	1000	2	2	1	right
28	practice	1	3	3	1000	2	1	0	right
28	practice	1	4	5	1000	1	1	1	right
28	practice	1	5	7	1000	1	1	1	right
28	practice	1	6	4	1000	2	1	0	right
28	practice	1	7	1	1000	2	2	1	right
28	practice	2	1	7	1000	1	1	1	right
28	practice	2	2	4	1000	2	1	0	right
28	practice	2	3	5	1000	1	1	1	right
28	practice	2	4	3	1000	2	2	1	right
28	practice	2	5	1	1000	2	2	1	right
28	practice	2	6	2	1000	2	2	1	right
28	practice	2	7	6	1000	1	1	1	right
28	practice	3	1	5	1000	1	1	1	right
28	practice	3	2	4	1000	2	2	1	right
28	practice	3	3	7	1000	1	1	1	right
28	practice	3	4	6	1000	1	1	1	right
28	practice	3	5	2	1000	2	2	1	right
28	practice	3	6	3	1000	2	2	1	right
28	practice	3	7	1	1000	2	2	1	right
28	test	1	1	2	1603	2	2	1	right
28	test	1	2	3	1098	2	2	1	right
28	test	1	3	2	1294	2	2	1	right
28	test	1	4	6	1506	1	1	1	right
28	test	1	5	6	1864	1	1	1	right
28	test	1	6	5	1598	1	1	1	right
28	test	1	7	5	1131	1	1	1	right
28	test	1	8	1	1730	2	2	1	right
28	test	1	9	1	1410	2	2	1	right
28	test	1	10	3	1919	2	2	1	right
28	test	1	11	6	1109	1	1	1	right
28	test	1	12	3	1420	2	2	1	right
28	test	1	13	5	1359	1	1	1	right
28	test	1	14	6	1026	1	1	1	right
28	test	1	15	7	1766	1	1	1	right
28	test	1	16	1	1835	2	2	1	right
28	test	1	17	6	1242	1	1	1	right
28	test	1	18	2	1802	2	2	1	right
28	test	1	19	1	1917	2	2	1	right
28	test	1	20	5	1602	1	1	1	right
28	test	1	21	4	1115	2	1	0	right
28	test	1	22	7	1836	1	1	1	right
28	test	1	23	5	1195	1	1	1	right
28	test	1	24	7	1906	1	1	1	right
28	test	1	25	6	1048	1	1	1	right
28	test	1	26	1	1144	2	2	1	right
28	test	1	27	7	1313	1	1	1	right
28	test	1	28	3	1990	2	2	1	right
28	test	1	29	3	1137	2	2	1	right
28	test	1	30	1	1569	2	2	1	right
28	test	1	31	2	1872	2	2	1	right
28	test	1	32	4	1458	2	2	1	right
28	test	1	33	3	1668	2	2	1	right
28	test	1	34	4	1327	2	1	0	right
28	test	1	35	5	1920	1	1	1	right
28	test	1	36	2	1023	2	2	1	right
28	test	1	37	5	1691	1	1	1	right
28	test	1	38	3	1235	2	2	1	right
28	test	1	39	7	1885	1	1	1	right
28	test	1	40	4	1268	2	2	1	right
28	test	1	41	4	1125	2	2	1	right
28	test	1	42	6	1669	1	1	1	right
28	test	1	43	4	1451	2	2	1	right
28	test	1	44	1	1703	2	2	1	right
