Scenario - Bisection Task
Logfile written - 08/28/2018 16:11:58

Subject	Trial	Event Type	Code	event_cond(str)	subject_id(num)	block_name(str)	block_number(num)	trial_number(num)	probe(num)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
40	73	Response	1							1226910	31502	0
40	74	Picture	Break	Break						1227071	0	1	11040	1	0	next	other	0
40	74	Response	1							1238029	10958	0
40	75	Response	1							1246348	8236	0
40	76	Picture	ITI	ITI						1246443	0	1	10068	1	0	next	other	0
40	77	Picture	ITI	ITI						1256512	0	1	16942	1	0	next	other	0
40	78	Sound	Stim;40;test;1;1;5	Stim	40	test	1	1	5	1273378	0	4			0		other	0
40	79	Picture	ITI	ITI						1314630	0	1	14998	1	0	next	other	0
40	80	Sound	Stim;40;test;1;2;4	Stim	40	test	1	2	4	1329535	0	4			0		other	0
40	81	Picture	ITI	ITI						1367331	0	1	19998	1	0	next	other	0
40	82	Sound	Stim;40;test;1;3;7	Stim	40	test	1	3	7	1387261	0	4			0		other	0
40	83	Picture	ITI	ITI						1437670	0	1	18192	1	0	next	other	0
40	84	Sound	Stim;40;test;1;4;7	Stim	40	test	1	4	7	1455779	0	4			0		other	0
40	85	Picture	ITI	ITI						1506203	0	1	19373	1	0	next	other	0
40	86	Sound	Stim;40;test;1;5;5	Stim	40	test	1	5	5	1525490	0	4			0		other	0
40	87	Picture	ITI	ITI						1566751	0	1	14234	1	0	next	other	0
40	88	Sound	Stim;40;test;1;6;1	Stim	40	test	1	6	1	1580936	0	4			0		other	0
40	89	Picture	ITI	ITI						1611398	0	1	12637	1	0	next	other	0
40	90	Sound	Stim;40;test;1;7;5	Stim	40	test	1	7	5	1623975	0	4			0		other	0
40	91	Picture	ITI	ITI						1665211	0	1	13401	1	0	next	other	0
40	92	Sound	Stim;40;test;1;8;3	Stim	40	test	1	8	3	1678527	0	4			0		other	0
40	93	Picture	ITI	ITI						1713400	0	1	18748	1	0	next	other	0
40	94	Sound	Stim;40;test;1;9;7	Stim	40	test	1	9	7	1732049	0	4			0		other	0
40	95	Picture	ITI	ITI						1782419	0	1	18331	1	0	next	other	0
40	96	Sound	Stim;40;test;1;10;6	Stim	40	test	1	10	6	1800696	0	4			0		other	0
40	97	Picture	ITI	ITI						1846092	0	1	17567	1	0	next	other	0
40	98	Sound	Stim;40;test;1;11;3	Stim	40	test	1	11	3	1863577	0	5			0		other	0
40	99	Picture	ITI	ITI						1898446	0	1	19789	1	0	next	other	0
40	100	Sound	Stim;40;test;1;12;3	Stim	40	test	1	12	3	1918141	0	4			0		other	0
40	101	Picture	ITI	ITI						1953023	0	1	16595	1	0	next	other	0
40	102	Sound	Stim;40;test;1;13;1	Stim	40	test	1	13	1	1969518	0	4			0		other	0
40	103	Picture	ITI	ITI						1999961	0	1	17290	1	0	next	other	0
40	104	Sound	Stim;40;test;1;14;7	Stim	40	test	1	14	7	2017171	0	4			0		other	0
40	105	Picture	ITI	ITI						2067592	0	1	14790	1	0	next	other	0
40	106	Sound	Stim;40;test;1;15;1	Stim	40	test	1	15	1	2082316	0	4			0		other	0
40	107	Picture	ITI	ITI						2112795	0	1	19859	1	0	next	other	0
40	108	Sound	Stim;40;test;1;16;3	Stim	40	test	1	16	3	2132550	0	4			0		other	0
40	109	Picture	ITI	ITI						2167441	0	1	11665	1	0	next	other	0
40	110	Sound	Stim;40;test;1;17;6	Stim	40	test	1	17	6	2179028	0	4			0		other	0
40	111	Picture	ITI	ITI						2224448	0	1	13609	1	0	next	other	0
40	112	Sound	Stim;40;test;1;18;6	Stim	40	test	1	18	6	2238015	0	4			0		other	0
40	113	Picture	ITI	ITI						2283399	0	1	19511	1	0	next	other	0
40	114	Sound	Stim;40;test;1;19;2	Stim	40	test	1	19	2	2302843	0	4			0		other	0
40	115	Picture	ITI	ITI						2335337	0	1	17012	1	0	next	other	0
40	116	Sound	Stim;40;test;1;20;6	Stim	40	test	1	20	6	2352253	0	4			0		other	0
40	117	Picture	ITI	ITI						2397621	0	1	19789	1	0	next	other	0
40	118	Sound	Stim;40;test;1;21;1	Stim	40	test	1	21	1	2417346	0	4			0		other	0
40	119	Picture	ITI	ITI						2447823	0	1	18609	1	0	next	other	0
40	120	Sound	Stim;40;test;1;22;6	Stim	40	test	1	22	6	2466380	0	4			0		other	0
40	121	Picture	ITI	ITI						2511773	0	1	11735	1	0	next	other	0
40	122	Sound	Stim;40;test;1;23;7	Stim	40	test	1	23	7	2523432	0	4			0		other	0
40	123	Picture	ITI	ITI						2573849	0	1	19998	1	0	next	other	0
40	124	Sound	Stim;40;test;1;24;4	Stim	40	test	1	24	4	2593754	0	4			0		other	0
40	125	Picture	ITI	ITI						2631550	0	1	18956	1	0	next	other	0
