Scenario - Bisection Task
Logfile written - 10/04/2018 11:30:52

Subject	Trial	Event Type	Code	event_cond(str)	subject_id(num)	block_name(str)	block_number(num)	trial_number(num)	probe(num)	ITI(num)	correctAns(num)	resp(num)	accuracy(num)	short(str)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

22	1	Picture	Instruction	Instruction											333	0	1	91153	1	0	next	other	0
22	1	Response	1												91374	91041	0
22	2	Picture	Stim;22;study;1;1;1;1969;1;-1;0;right	Stim	22	study	1	1	1	1969	1	-1	0	right	91486	0	1	21163	1	0	next	other	0
22	4	Picture	Stim;22;study;1;2;7;1505;7;-1;0;right	Stim	22	study	1	2	7	1505	7	-1	0	right	141311	0	1	15164	1	0	next	other	0
22	6	Picture	Stim;22;study;1;3;1;1856;1;-1;0;right	Stim	22	study	1	3	1	1856	1	-1	0	right	206468	0	1	18664	1	0	next	other	0
22	8	Picture	Stim;22;study;1;4;7;1980;7;-1;0;right	Stim	22	study	1	4	7	1980	7	-1	0	right	255127	0	1	19997	1	0	next	other	0
22	10	Picture	Stim;22;study;1;5;1;1045;1;-1;0;right	Stim	22	study	1	5	1	1045	1	-1	0	right	324949	0	1	10665	1	0	next	other	0
22	12	Picture	Stim;22;study;1;6;7;1926;7;-1;0;right	Stim	22	study	1	6	7	1926	7	-1	0	right	365610	0	1	19497	1	0	next	other	0
22	14	Picture	Stim;22;study;1;7;1;1705;1;-1;0;right	Stim	22	study	1	7	1	1705	1	-1	0	right	434932	0	1	17164	1	0	next	other	0
22	16	Picture	Stim;22;study;1;8;7;1687;7;-1;0;right	Stim	22	study	1	8	7	1687	7	-1	0	right	482092	0	1	16997	1	0	next	other	0
22	18	Picture	Stim;22;study;1;9;1;1375;1;-1;0;right	Stim	22	study	1	9	1	1375	1	-1	0	right	549081	0	1	13831	1	0	next	other	0
22	20	Picture	Stim;22;study;1;10;7;1094;7;-1;0;right	Stim	22	study	1	10	7	1094	7	-1	0	right	592908	0	1	10998	1	0	next	other	0
22	22	Picture	End_Block	End_Block											653898	0	1	132646	1	0	next	other	0
22	22	Response	1												786420	132522	1
22	23	Picture	Break	Break											786544	0	1	6332	1	0	next	other	0
22	23	Response	1												792739	6195	0
22	24	Picture	ITI	ITI											792877	0	1	10165	1	0	next	other	0
22	25	Picture	Instruction	Instruction											803042	0	1	186804	1	0	next	other	0
22	25	Response	1												989758	186716	0
22	26	Picture	Instruction	Instruction											989846	0	1	49826	1	0	next	other	0
22	26	Response	1												1039513	49667	0
22	27	Picture	Stim;22;practice;1;1;7;1000;1;1;1;right	Stim	22	practice	1	1	7	1000	1	1	1	right	1039672	0	1	10165	1	0	next	other	0
22	29	Picture	Feedback	Feedback											1099829	0	1	7166	1	0	next	other	0
22	30	Picture	Stim;22;practice;1;2;3;1000;2;2;1;right	Stim	22	practice	1	2	3	1000	2	2	1	right	1106994	0	1	10165	1	0	next	other	0
22	32	Picture	Feedback	Feedback											1151487	0	1	7166	1	0	next	other	0
22	33	Picture	Stim;22;practice;1;3;1;1000;2;2;1;right	Stim	22	practice	1	3	1	1000	2	2	1	right	1158653	0	1	10165	1	0	next	other	0
22	35	Picture	Feedback	Feedback											1198813	0	1	7166	1	0	next	other	0
22	36	Picture	Stim;22;practice;1;4;2;1000;2;2;1;right	Stim	22	practice	1	4	2	1000	2	2	1	right	1205979	0	1	10165	1	0	next	other	0
22	38	Picture	Feedback	Feedback											1248139	0	1	7166	1	0	next	other	0
22	39	Picture	Stim;22;practice;1;5;5;1000;1;1;1;right	Stim	22	practice	1	5	5	1000	1	1	1	right	1255305	0	1	10165	1	0	next	other	0
22	41	Picture	Feedback	Feedback											1306297	0	1	7166	1	0	next	other	0
22	42	Picture	Stim;22;practice;1;6;4;1000;2;1;0;right	Stim	22	practice	1	6	4	1000	2	1	0	right	1313462	0	1	10165	1	0	next	other	0
22	44	Picture	Feedback	Feedback											1360955	0	1	7166	1	0	next	other	0
22	45	Picture	Stim;22;practice;1;7;6;1000;1;1;1;right	Stim	22	practice	1	7	6	1000	1	1	1	right	1368120	0	1	10165	1	0	next	other	0
22	47	Picture	Feedback	Feedback											1423112	0	1	7166	1	0	next	other	0
22	48	Picture	Stim;22;practice;2;1;4;1000;2;1;0;right	Stim	22	practice	2	1	4	1000	2	1	0	right	1430277	0	1	10165	1	0	next	other	0
22	50	Picture	Feedback	Feedback											1477770	0	1	7166	1	0	next	other	0
22	51	Picture	Stim;22;practice;2;2;5;1000;1;1;1;right	Stim	22	practice	2	2	5	1000	1	1	1	right	1484935	0	1	10165	1	0	next	other	0
22	53	Picture	Feedback	Feedback											1535761	0	1	7166	1	0	next	other	0
22	54	Picture	Stim;22;practice;2;3;6;1000;1;1;1;right	Stim	22	practice	2	3	6	1000	1	1	1	right	1542927	0	1	10165	1	0	next	other	0
22	56	Picture	Feedback	Feedback											1597918	0	1	7166	1	0	next	other	0
22	57	Picture	Stim;22;practice;2;4;3;1000;2;1;0;right	Stim	22	practice	2	4	3	1000	2	1	0	right	1605084	0	1	10165	1	0	next	other	0
22	59	Picture	Feedback	Feedback											1649577	0	1	7166	1	0	next	other	0
22	60	Picture	Stim;22;practice;2;5;1;1000;2;2;1;right	Stim	22	practice	2	5	1	1000	2	2	1	right	1656742	0	1	10165	1	0	next	other	0
22	62	Picture	Feedback	Feedback											1696903	0	1	7166	1	0	next	other	0
22	63	Picture	Stim;22;practice;2;6;2;1000;2;2;1;right	Stim	22	practice	2	6	2	1000	2	2	1	right	1704068	0	1	10165	1	0	next	other	0
22	65	Picture	Feedback	Feedback											1746228	0	1	7166	1	0	next	other	0
22	66	Picture	Stim;22;practice;2;7;7;1000;1;1;1;right	Stim	22	practice	2	7	7	1000	1	1	1	right	1753394	0	1	10165	1	0	next	other	0
22	68	Picture	Feedback	Feedback											1813384	0	1	7166	1	0	next	other	0
22	69	Picture	Stim;22;practice;3;1;4;1000;2;1;0;right	Stim	22	practice	3	1	4	1000	2	1	0	right	1820550	0	1	10165	1	0	next	other	0
22	71	Picture	Feedback	Feedback											1868042	0	1	7166	1	0	next	other	0
22	72	Picture	Stim;22;practice;3;2;5;1000;1;1;1;right	Stim	22	practice	3	2	5	1000	1	1	1	right	1875208	0	1	10165	1	0	next	other	0
22	74	Picture	Feedback	Feedback											1926034	0	1	7166	1	0	next	other	0
22	75	Picture	Stim;22;practice;3;3;1;1000;2;2;1;right	Stim	22	practice	3	3	1	1000	2	2	1	right	1933199	0	1	10165	1	0	next	other	0
22	77	Picture	Feedback	Feedback											1973359	0	1	7166	1	0	next	other	0
22	78	Picture	Stim;22;practice;3;4;3;1000;2;2;1;right	Stim	22	practice	3	4	3	1000	2	2	1	right	1980525	0	1	10165	1	0	next	other	0
22	80	Picture	Feedback	Feedback											2025018	0	1	7166	1	0	next	other	0
22	81	Picture	Stim;22;practice;3;5;6;1000;1;1;1;right	Stim	22	practice	3	5	6	1000	1	1	1	right	2032184	0	1	10165	1	0	next	other	0
22	83	Picture	Feedback	Feedback											2087175	0	1	7166	1	0	next	other	0
22	84	Picture	Stim;22;practice;3;6;7;1000;1;1;1;right	Stim	22	practice	3	6	7	1000	1	1	1	right	2094341	0	1	10165	1	0	next	other	0
22	86	Picture	Feedback	Feedback											2154331	0	1	7166	1	0	next	other	0
22	87	Picture	Stim;22;practice;3;7;2;1000;2;2;1;right	Stim	22	practice	3	7	2	1000	2	2	1	right	2161497	0	1	10165	1	0	next	other	0
22	89	Picture	Feedback	Feedback											2203657	0	1	7166	1	0	next	other	0
