Scenario - Bisection Task
Logfile written - 10/03/2018 15:21:45

Subject	Trial	Event Type	Code	event_cond(str)	subject_id(num)	block_name(str)	block_number(num)	trial_number(num)	probe(num)	ITI(num)	correctAns(num)	resp(num)	accuracy(num)	short(str)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

20	1	Picture	Instruction	Instruction											333	0	1	56658	1	0	next	other	0
20	1	Response	1												56896	56563	0
20	2	Picture	Stim;20;study;1;1;1;1279;1;-1;0;right	Stim	20	study	1	1	1	1279	1	-1	0	right	56991	0	1	13998	1	0	next	other	0
20	4	Picture	Stim;20;study;1;2;7;1626;7;-1;0;right	Stim	20	study	1	2	7	1626	7	-1	0	right	99984	0	1	16331	1	0	next	other	0
20	6	Picture	Stim;20;study;1;3;1;1192;1;-1;0;right	Stim	20	study	1	3	1	1192	1	-1	0	right	166307	0	1	11998	1	0	next	other	0
20	8	Picture	Stim;20;study;1;4;7;1206;7;-1;0;right	Stim	20	study	1	4	7	1206	7	-1	0	right	208301	0	1	12165	1	0	next	other	0
20	10	Picture	Stim;20;study;1;5;1;1493;1;-1;0;right	Stim	20	study	1	5	1	1493	1	-1	0	right	270458	0	1	14998	1	0	next	other	0
20	12	Picture	Stim;20;study;1;6;7;1328;7;-1;0;right	Stim	20	study	1	6	7	1328	7	-1	0	right	315451	0	1	13498	1	0	next	other	0
20	14	Picture	Stim;20;study;1;7;1;1571;1;-1;0;right	Stim	20	study	1	7	1	1571	1	-1	0	right	378774	0	1	15831	1	0	next	other	0
20	16	Picture	Stim;20;study;1;8;7;1484;7;-1;0;right	Stim	20	study	1	8	7	1484	7	-1	0	right	424601	0	1	14998	1	0	next	other	0
20	18	Picture	Stim;20;study;1;9;1;1169;1;-1;0;right	Stim	20	study	1	9	1	1169	1	-1	0	right	489424	0	1	11832	1	0	next	other	0
20	20	Picture	Stim;20;study;1;10;7;1045;7;-1;0;right	Stim	20	study	1	10	7	1045	7	-1	0	right	531251	0	1	10665	1	0	next	other	0
20	22	Picture	End_Block	End_Block											591741	0	1	265792	1	0	next	other	0
20	22	Response	1												857371	265630	1
20	23	Picture	Break	Break											857533	0	1	12998	1	0	next	other	0
