Scenario - Bisection Task
Logfile written - 09/21/2018 12:28:48

Subject	Trial	Event Type	Code	event_cond(str)	subject_id(num)	block_name(str)	block_number(num)	trial_number(num)	probe(num)	ITI(num)	correctAns(num)	resp(num)	accuracy(num)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

9	1	Picture	Instruction	Instruction										166	0	1	216141	1	0	next	other	0
9	1	Response	1											216103	215936	1
9	2	Picture	Stim;9;study;1;1;1;1573;1;-1;0;left	Stim	9	study	1	1	1	1573	1	-1	0	216307	0	1	17498	1	0	next	other	0
9	4	Picture	Stim;9;study;1;2;7;1281;7;-1;0;left	Stim	9	study	1	2	7	1281	7	-1	0	262635	0	1	12998	1	0	next	other	0
9	6	Picture	Stim;9;study;1;3;1;1513;1;-1;0;left	Stim	9	study	1	3	1	1513	1	-1	0	325461	0	1	15332	1	0	next	other	0
9	8	Picture	Stim;9;study;1;4;7;1796;7;-1;0;left	Stim	9	study	1	4	7	1796	7	-1	0	370789	0	1	18165	1	0	next	other	0
9	10	Picture	Stim;9;study;1;5;1;1130;1;-1;0;left	Stim	9	study	1	5	1	1130	1	-1	0	438780	0	1	11499	1	0	next	other	0
9	12	Picture	Stim;9;study;1;6;7;1171;7;-1;0;left	Stim	9	study	1	6	7	1171	7	-1	0	480275	0	1	11832	1	0	next	other	0
9	14	Picture	Stim;9;study;1;7;1;1430;1;-1;0;left	Stim	9	study	1	7	1	1430	1	-1	0	542101	0	1	14498	1	0	next	other	0
9	16	Picture	Stim;9;study;1;8;7;1317;7;-1;0;left	Stim	9	study	1	8	7	1317	7	-1	0	586596	0	1	13332	1	0	next	other	0
9	18	Picture	Stim;9;study;1;9;1;1502;1;-1;0;left	Stim	9	study	1	9	1	1502	1	-1	0	649755	0	1	15165	1	0	next	other	0
9	20	Picture	Stim;9;study;1;10;7;1690;7;-1;0;left	Stim	9	study	1	10	7	1690	7	-1	0	694916	0	1	16998	1	0	next	other	0
9	22	Picture	End_Block	End_Block										761908	0	1	326960	1	0	next	other	0
9	22	Response	1											1088599	326691	1
9	23	Picture	Break	Break										1088869	0	1	5333	1	0	next	other	0
9	23	Response	1											1094118	5250	0
9	24	Picture	ITI	ITI										1094201	0	1	10165	1	0	next	other	0
9	25	Picture	Instruction	Instruction										1104367	0	1	18998	1	0	next	other	0
9	25	Response	1											1123235	18868	1
9	26	Picture	Instruction	Instruction										1123364	0	1	56160	1	0	next	other	0
9	26	Response	1											1179392	56027	0
9	27	Picture	Stim;9;practice;1;1;1;1000;1;1;1;left	Stim	9	practice	1	1	1	1000	1	1	1	1179524	0	1	10165	1	0	next	other	0
9	29	Picture	Feedback	Feedback										1219686	0	1	7166	1	0	next	other	0
9	30	Picture	Stim;9;practice;1;2;6;1000;2;0;0;left	Stim	9	practice	1	2	6	1000	2	0	0	1226852	0	1	10165	1	0	next	other	0
9	32	Picture	Feedback	Feedback										1281845	0	1	7166	1	0	next	other	0
9	33	Picture	Stim;9;practice;1;3;4;1000;1;1;1;left	Stim	9	practice	1	3	4	1000	1	1	1	1289011	0	1	10166	1	0	next	other	0
9	35	Picture	Feedback	Feedback										1336505	0	1	7166	1	0	next	other	0
9	36	Picture	Stim;9;practice;1;4;2;1000;1;1;1;left	Stim	9	practice	1	4	2	1000	1	1	1	1343671	0	1	10165	1	0	next	other	0
9	38	Picture	Feedback	Feedback										1385833	0	1	7166	1	0	next	other	0
9	39	Picture	Stim;9;practice;1;5;7;1000;2;2;1;left	Stim	9	practice	1	5	7	1000	2	2	1	1392998	0	1	10165	1	0	next	other	0
9	41	Picture	Feedback	Feedback										1452991	0	1	7166	1	0	next	other	0
9	42	Picture	Stim;9;practice;1;6;5;1000;2;2;1;left	Stim	9	practice	1	6	5	1000	2	2	1	1460157	0	1	10166	1	0	next	other	0
9	44	Picture	Feedback	Feedback										1510984	0	1	7166	1	0	next	other	0
9	45	Picture	Stim;9;practice;1;7;3;1000;1;1;1;left	Stim	9	practice	1	7	3	1000	1	1	1	1518150	0	1	10165	1	0	next	other	0
9	47	Picture	Feedback	Feedback										1562644	0	1	7166	1	0	next	other	0
9	48	Picture	Stim;9;practice;2;1;1;1000;1;1;1;left	Stim	9	practice	2	1	1	1000	1	1	1	1569810	0	1	10165	1	0	next	other	0
9	50	Picture	Feedback	Feedback										1609972	0	1	7166	1	0	next	other	0
9	51	Picture	Stim;9;practice;2;2;4;1000;1;0;0;left	Stim	9	practice	2	2	4	1000	1	0	0	1617138	0	1	10165	1	0	next	other	0
9	53	Picture	Feedback	Feedback										1664632	0	1	7166	1	0	next	other	0
