Scenario - Bisection Task
Logfile written - 09/18/2018 16:30:34

Subject	Trial	Event Type	Code	event_cond(str)	subject_id(num)	block_name(str)	block_number(num)	trial_number(num)	probe(num)	ITI(num)	correctAns(num)	resp(num)	accuracy(num)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

7	1	Picture	Instruction	Instruction										208	0	1	12569	1	0	next	other	0
7	1	Response	1											12733	12525	0
7	2	Picture	Stim;7;study;1;1;1;1093;1;-1;0;left	Stim	7	study	1	1	1	1093	1	-1	0	12777	0	1	11526	2	0	next	other	0
7	4	Picture	Stim;7;study;1;2;7;1874;7;-1;0;left	Stim	7	study	1	2	7	1874	7	-1	0	53816	0	1	18818	1	0	next	other	0
7	6	Picture	Stim;7;study;1;3;1;1291;1;-1;0;left	Stim	7	study	1	3	1	1291	1	-1	0	122561	0	1	12985	1	0	next	other	0
7	8	Picture	Stim;7;study;1;4;7;1851;7;-1;0;left	Stim	7	study	1	4	7	1851	7	-1	0	165545	0	1	18610	1	0	next	other	0
7	10	Picture	Stim;7;study;1;5;1;1513;1;-1;0;left	Stim	7	study	1	5	1	1513	1	-1	0	234082	0	1	15207	1	0	next	other	0
7	12	Picture	Stim;7;study;1;6;7;1194;7;-1;0;left	Stim	7	study	1	6	7	1194	7	-1	0	279287	0	1	12013	1	0	next	other	0
7	14	Picture	Stim;7;study;1;7;1;1673;1;-1;0;left	Stim	7	study	1	7	1	1673	1	-1	0	341228	0	1	16804	1	0	next	other	0
7	16	Picture	Stim;7;study;1;8;7;1599;7;-1;0;left	Stim	7	study	1	8	7	1599	7	-1	0	388030	0	1	16040	1	0	next	other	0
7	18	Picture	Stim;7;study;1;9;1;1298;1;-1;0;left	Stim	7	study	1	9	1	1298	1	-1	0	453998	0	1	13055	1	0	next	other	0
7	20	Picture	Stim;7;study;1;10;7;1878;7;-1;0;left	Stim	7	study	1	10	7	1878	7	-1	0	497051	0	1	18888	1	0	next	other	0
7	22	Picture	End_Block	End_Block										565866	0	1	20138	1	0	next	other	0
7	22	Response	1											585847	19981	0
7	23	Picture	Break	Break										586004	0	1	6805	1	0	next	other	0
7	23	Response	1											592727	6724	0
7	24	Picture	ITI	ITI										592809	0	1	10069	1	0	next	other	0
7	25	Picture	Instruction	Instruction										602878	0	1	4028	1	0	next	other	0
7	25	Response	1											606807	3929	0
7	26	Picture	Instruction	Instruction										606905	0	1	5555	1	0	next	other	0
7	26	Response	1											612407	5502	0
