Scenario - Bisection Task
Logfile written - 10/08/2018 13:32:37

Subject	Trial	Event Type	Code	event_cond(str)	subject_id(num)	block_name(str)	block_number(num)	trial_number(num)	probe(num)	ITI(num)	correctAns(num)	resp(num)	accuracy(num)	short(str)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

34	1	Picture	Instruction	Instruction											167	0	1	115982	1	0	next	other	0
34	1	Response	1												116060	115894	0
34	2	Picture	Stim;34;study;1;1;1;1286;1;-1;0;right	Stim	34	study	1	1	1	1286	1	-1	0	right	116149	0	1	14331	1	0	next	other	0
34	4	Picture	Stim;34;study;1;2;7;1033;7;-1;0;right	Stim	34	study	1	2	7	1033	7	-1	0	right	159142	0	1	10498	1	0	next	other	0
34	6	Picture	Stim;34;study;1;3;1;1438;1;-1;0;right	Stim	34	study	1	3	1	1438	1	-1	0	right	219466	0	1	14498	1	0	next	other	0
34	8	Picture	Stim;34;study;1;4;7;1888;7;-1;0;right	Stim	34	study	1	4	7	1888	7	-1	0	right	263959	0	1	18997	1	0	next	other	0
34	10	Picture	Stim;34;study;1;5;1;1572;1;-1;0;right	Stim	34	study	1	5	1	1572	1	-1	0	right	332948	0	1	15831	1	0	next	other	0
34	12	Picture	Stim;34;study;1;6;7;1797;7;-1;0;right	Stim	34	study	1	6	7	1797	7	-1	0	right	378774	0	1	18164	1	0	next	other	0
34	14	Picture	Stim;34;study;1;7;1;1322;1;-1;0;right	Stim	34	study	1	7	1	1322	1	-1	0	right	446764	0	1	13331	1	0	next	other	0
34	16	Picture	Stim;34;study;1;8;7;1122;7;-1;0;right	Stim	34	study	1	8	7	1122	7	-1	0	right	490090	0	1	11332	1	0	next	other	0
34	18	Picture	Stim;34;study;1;9;1;1839;1;-1;0;right	Stim	34	study	1	9	1	1839	1	-1	0	right	551414	0	1	18497	1	0	next	other	0
34	20	Picture	Stim;34;study;1;10;7;1334;7;-1;0;right	Stim	34	study	1	10	7	1334	7	-1	0	right	599906	0	1	13498	1	0	next	other	0
34	22	Picture	End_Block	End_Block											663397	0	1	211967	1	0	next	other	0
34	22	Response	1												875099	211703	1
34	23	Picture	Break	Break											875364	0	1	2000	1	0	next	other	0
34	23	Response	1												877179	1815	0
34	24	Picture	ITI	ITI											877363	0	1	10165	1	0	next	other	0
34	25	Picture	Instruction	Instruction											887528	0	1	200969	1	0	next	other	0
34	25	Response	1												1088277	200748	0
