Scenario - Bisection Task
Logfile written - 09/14/2018 14:08:56

Subject	Trial	Event Type	Code	event_cond(str)	subject_id(num)	block_name(str)	block_number(num)	trial_number(num)	probe(num)	ITI(num)	correctAns(num)	resp(num)	accuracy(num)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

4	1	Picture	Instruction	Instruction										208	0	1	146578	1	0	next	other	0
4	1	Response	1											146741	146533	0
4	2	Picture	Stim;4;study;1;1;1;1074;1;-1;0;right	Stim	4	study	1	1	1	1074	1	-1	0	146786	0	1	11387	1	0	next	other	0
4	4	Picture	Stim;4;study;1;2;7;1760;7;-1;0;right	Stim	4	study	1	2	7	1760	7	-1	0	187614	0	1	17706	1	0	next	other	0
4	6	Picture	Stim;4;study;1;3;1;1783;1;-1;0;right	Stim	4	study	1	3	1	1783	1	-1	0	255244	0	1	17914	1	0	next	other	0
4	8	Picture	Stim;4;study;1;4;7;1789;7;-1;0;right	Stim	4	study	1	4	7	1789	7	-1	0	303154	0	1	17984	1	0	next	other	0
4	10	Picture	Stim;4;study;1;5;1;1093;1;-1;0;right	Stim	4	study	1	5	1	1093	1	-1	0	371062	0	1	11040	1	0	next	other	0
4	12	Picture	Stim;4;study;1;6;7;1880;7;-1;0;right	Stim	4	study	1	6	7	1880	7	-1	0	412098	0	1	18886	1	0	next	other	0
4	14	Picture	Stim;4;study;1;7;1;1661;1;-1;0;right	Stim	4	study	1	7	1	1661	1	-1	0	480909	0	1	16665	1	0	next	other	0
4	16	Picture	Stim;4;study;1;8;7;1055;7;-1;0;right	Stim	4	study	1	8	7	1055	7	-1	0	527569	0	1	10624	1	0	next	other	0
4	18	Picture	Stim;4;study;1;9;1;1938;1;-1;0;right	Stim	4	study	1	9	1	1938	1	-1	0	588117	0	1	19442	1	0	next	other	0
4	20	Picture	Stim;4;study;1;10;7;1602;7;-1;0;right	Stim	4	study	1	10	7	1602	7	-1	0	637555	0	1	16109	1	0	next	other	0
4	22	Picture	End_Block	End_Block										703657	0	1	215180	1	0	next	other	0
4	22	Response	1											918682	215024	1
4	23	Picture	Break	Break										918837	0	1	17359	1	0	next	other	0
4	23	Response	1											936120	17283	0
4	24	Picture	ITI	ITI										936196	0	1	10068	1	0	next	other	0
4	25	Picture	Instruction	Instruction										946264	0	1	6666	1	0	next	other	0
4	25	Response	1											952839	6575	0
4	26	Picture	Instruction	Instruction										952930	0	1	83182	2	0	next	other	0
4	26	Response	1											1036032	83102	1
4	27	Picture	Stim;4;practice;1;1;6;1000;1;1;1;right	Stim	4	practice	1	1	6	1000	1	1	1	1036112	0	2	10069	2	0	next	other	0
4	29	Picture	Feedback	Feedback										1091106	0	1	7082	1	0	next	other	0
4	30	Picture	Stim;4;practice;1;2;5;1000;1;1;1;right	Stim	4	practice	1	2	5	1000	1	1	1	1098189	0	1	10068	1	0	next	other	0
