Subject Id	Block Type	Block Number	Trial Number	Probe Condition	Inter-Trial Interval	Answer	Response	Score	Short Dynomometer
15	study	1	1	1	1599	1	-1	0	left
15	study	1	2	7	1917	7	-1	0	left
15	study	1	3	1	1676	1	-1	0	left
15	study	1	4	7	1274	7	-1	0	left
15	study	1	5	1	1090	1	-1	0	left
15	study	1	6	7	1771	7	-1	0	left
15	study	1	7	1	1658	1	-1	0	left
15	study	1	8	7	1834	7	-1	0	left
15	study	1	9	1	1023	1	-1	0	left
15	study	1	10	7	1612	7	-1	0	left
15	practice	1	1	5	1000	2	2	1	left
15	practice	1	2	2	1000	1	1	1	left
15	practice	1	3	7	1000	2	2	1	left
15	practice	1	4	6	1000	2	2	1	left
15	practice	1	5	1	1000	1	1	1	left
15	practice	1	6	3	1000	1	1	1	left
15	practice	1	7	4	1000	1	2	0	left
15	practice	2	1	5	1000	2	2	1	left
15	practice	2	2	4	1000	1	2	0	left
15	practice	2	3	3	1000	1	1	1	left
15	practice	2	4	2	1000	1	1	1	left
15	practice	2	5	6	1000	2	2	1	left
15	practice	2	6	7	1000	2	2	1	left
15	practice	2	7	1	1000	1	1	1	left
15	practice	3	1	1	1000	1	1	1	left
15	practice	3	2	3	1000	1	2	0	left
15	practice	3	3	2	1000	1	1	1	left
15	practice	3	4	5	1000	2	2	1	left
15	practice	3	5	7	1000	2	2	1	left
15	practice	3	6	6	1000	2	2	1	left
15	practice	3	7	4	1000	1	2	0	left
15	test	1	1	5	1139	2	2	1	left
15	test	1	2	3	1549	1	1	1	left
15	test	1	3	4	1233	1	1	1	left
15	test	1	4	5	1043	2	1	0	left
15	test	1	5	6	1275	2	2	1	left
15	test	1	6	2	1769	1	1	1	left
15	test	1	7	5	1828	2	1	0	left
15	test	1	8	5	1422	2	1	0	left
15	test	1	9	7	1333	2	2	1	left
15	test	1	10	3	1190	1	1	1	left
15	test	1	11	6	1103	2	2	1	left
15	test	1	12	1	1620	1	1	1	left
15	test	1	13	2	1162	1	1	1	left
15	test	1	14	1	1101	1	1	1	left
15	test	1	15	5	1168	2	2	1	left
15	test	1	16	2	1972	1	1	1	left
15	test	1	17	7	1022	2	2	1	left
15	test	1	18	1	1781	1	1	1	left
15	test	1	19	1	1265	1	1	1	left
15	test	1	20	3	1080	1	1	1	left
15	test	1	21	3	1784	1	1	1	left
15	test	1	22	1	1841	1	1	1	left
15	test	1	23	4	1773	1	2	0	left
15	test	1	24	3	1095	1	1	1	left
15	test	1	25	2	1998	1	1	1	left
15	test	1	26	6	1323	2	2	1	left
15	test	1	27	4	1770	1	2	0	left
15	test	1	28	6	1525	2	2	1	left
15	test	1	29	3	1068	1	1	1	left
15	test	1	30	7	1756	2	2	1	left
15	test	1	31	6	1374	2	2	1	left
15	test	1	32	5	1967	2	2	1	left
15	test	1	33	4	1231	1	1	1	left
15	test	1	34	4	1063	1	2	0	left
15	test	1	35	1	1341	1	1	1	left
15	test	1	36	7	1139	2	2	1	left
15	test	1	37	2	1490	1	1	1	left
15	test	1	38	2	1332	1	1	1	left
15	test	1	39	3	1881	1	1	1	left
15	test	1	40	5	1685	2	1	0	left
15	test	1	41	1	1643	1	1	1	left
15	test	1	42	6	1340	2	2	1	left
15	test	1	43	6	1815	2	2	1	left
15	test	1	44	7	1942	2	2	1	left
15	test	1	45	7	1373	2	2	1	left
15	test	1	46	4	1912	1	1	1	left
15	test	1	47	2	1072	1	1	1	left
15	test	1	48	4	1150	1	2	0	left
15	test	1	49	7	1793	2	2	1	left
15	test	2	1	1	1725	1	1	1	left
15	test	2	2	2	1599	1	1	1	left
15	test	2	3	2	1185	1	1	1	left
15	test	2	4	6	1391	2	2	1	left
15	test	2	5	5	1675	2	2	1	left
15	test	2	6	3	1258	1	1	1	left
15	test	2	7	4	1059	1	2	0	left
15	test	2	8	7	1656	2	2	1	left
15	test	2	9	1	1647	1	1	1	left
15	test	2	10	4	1027	1	2	0	left
15	test	2	11	1	1770	1	1	1	left
15	test	2	12	6	1064	2	2	1	left
15	test	2	13	6	1534	2	2	1	left
15	test	2	14	3	1134	1	2	0	left
15	test	2	15	2	1291	1	1	1	left
15	test	2	16	3	1729	1	2	0	left
15	test	2	17	3	1211	1	2	0	left
15	test	2	18	5	1220	2	2	1	left
15	test	2	19	1	1750	1	1	1	left
15	test	2	20	5	1610	2	2	1	left
15	test	2	21	5	1299	2	2	1	left
15	test	2	22	4	1179	1	2	0	left
15	test	2	23	2	1371	1	1	1	left
15	test	2	24	7	1704	2	2	1	left
