Subject Id	Block Type	Block Number	Trial Number	Probe Condition	Inter-Trial Interval	Answer	Response	Score	Short Dynomometer
13	test	3	1	5	1546	2	2	1	left
13	test	3	2	7	1359	2	2	1	left
13	test	3	3	6	1790	2	2	1	left
13	test	3	4	3	1178	1	1	1	left
13	test	3	5	1	1644	1	1	1	left
13	test	3	6	2	1461	1	1	1	left
13	test	3	7	7	1554	2	2	1	left
13	test	3	8	5	1813	2	2	1	left
13	test	3	9	5	1556	2	2	1	left
13	test	3	10	2	1648	1	1	1	left
13	test	3	11	2	1939	1	1	1	left
13	test	3	12	5	1094	2	2	1	left
13	test	3	13	4	1618	1	1	1	left
13	test	3	14	3	1253	1	1	1	left
13	test	3	15	6	1887	2	2	1	left
13	test	3	16	4	1802	1	2	0	left
13	test	3	17	7	1526	2	2	1	left
13	test	3	18	7	1206	2	2	1	left
13	test	3	19	4	1534	1	1	1	left
13	test	3	20	4	1783	1	2	0	left
13	test	3	21	2	1706	1	1	1	left
13	test	3	22	1	1122	1	2	0	left
13	test	3	23	1	1277	1	1	1	left
13	test	3	24	6	1946	2	2	1	left
13	test	3	25	5	1996	2	2	1	left
13	test	3	26	1	1993	1	1	1	left
13	test	3	27	4	1592	1	1	1	left
13	test	3	28	6	1796	2	1	0	left
13	test	3	29	1	1042	1	1	1	left
13	test	3	30	7	1660	2	2	1	left
13	test	3	31	2	1750	1	1	1	left
13	test	3	32	4	1295	1	2	0	left
13	test	3	33	5	2000	2	2	1	left
13	test	3	34	6	1307	2	2	1	left
13	test	3	35	2	1496	1	1	1	left
13	test	3	36	6	1928	2	1	0	left
13	test	3	37	6	1224	2	1	0	left
13	test	3	38	7	1320	2	2	1	left
13	test	3	39	1	1408	1	1	1	left
13	test	3	40	3	1976	1	1	1	left
13	test	3	41	5	1000	2	1	0	left
13	test	3	42	3	1107	1	1	1	left
13	test	3	43	2	1157	1	1	1	left
13	test	3	44	3	1525	1	1	1	left
13	test	3	45	7	1611	2	2	1	left
13	test	3	46	3	1908	1	1	1	left
13	test	3	47	3	1332	1	0	0	left
13	test	3	48	4	1799	1	2	0	left
13	test	3	49	1	1889	1	1	1	left
13	test	4	1	1	1277	1	1	1	left
13	test	4	2	1	1705	1	1	1	left
13	test	4	3	5	1791	2	1	0	left
13	test	4	4	4	1704	1	1	1	left
13	test	4	5	1	1655	1	1	1	left
13	test	4	6	2	1558	1	1	1	left
13	test	4	7	5	1176	2	2	1	left
13	test	4	8	6	1462	2	2	1	left
13	test	4	9	1	1100	1	1	1	left
13	test	4	10	7	1175	2	2	1	left
13	test	4	11	3	1224	1	1	1	left
13	test	4	12	5	1887	2	0	0	left
13	test	4	13	3	1913	1	1	1	left
13	test	4	14	3	1220	1	1	1	left
13	test	4	15	7	1045	2	2	1	left
13	test	4	16	4	1663	1	1	1	left
13	test	4	17	2	1345	1	1	1	left
13	test	4	18	2	1633	1	1	1	left
13	test	4	19	4	1516	1	1	1	left
13	test	4	20	6	1015	2	2	1	left
13	test	4	21	5	1619	2	2	1	left
13	test	4	22	1	1311	1	1	1	left
13	test	4	23	4	1063	1	1	1	left
13	test	4	24	3	1477	1	1	1	left
13	test	4	25	2	1392	1	1	1	left
13	test	4	26	6	1492	2	2	1	left
13	test	4	27	2	1377	1	1	1	left
13	test	4	28	1	1789	1	1	1	left
13	test	4	29	6	1008	2	2	1	left
13	test	4	30	7	1017	2	2	1	left
13	test	4	31	5	1545	2	1	0	left
13	test	4	32	7	1117	2	2	1	left
13	test	4	33	1	1771	1	1	1	left
13	test	4	34	3	1375	1	2	0	left
13	test	4	35	6	1931	2	2	1	left
13	test	4	36	6	1623	2	2	1	left
13	test	4	37	3	1987	1	1	1	left
13	test	4	38	4	1296	1	1	1	left
13	test	4	39	5	1892	2	1	0	left
13	test	4	40	5	1323	2	2	1	left
13	test	4	41	2	1645	1	1	1	left
13	test	4	42	7	1898	2	2	1	left
13	test	4	43	7	1991	2	2	1	left
13	test	4	44	6	1205	2	2	1	left
13	test	4	45	4	1464	1	1	1	left
13	test	4	46	4	1806	1	1	1	left
13	test	4	47	7	1866	2	2	1	left
13	test	4	48	2	1365	1	1	1	left
13	test	4	49	3	1672	1	1	1	left

