Scenario - Bisection Task
Logfile written - 09/14/2018 14:34:59

Subject	Trial	Event Type	Code	event_cond(str)	subject_id(num)	block_name(str)	block_number(num)	trial_number(num)	probe(num)	ITI(num)	correctAns(num)	resp(num)	accuracy(num)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
5	75	Picture	Stim;5;practice;3;3;5;1000;2;2;1;left	Stim	5	practice	3	3	5	1000	2	2	1	1901069	0	1	10068	1	0	next	other	0
5	77	Picture	Feedback	Feedback										1951896	0	1	7082	1	0	next	other	0
5	78	Picture	Stim;5;practice;3;4;7;1000;2;2;1;left	Stim	5	practice	3	4	7	1000	2	2	1	1958978	0	1	10068	1	0	next	other	0
5	80	Picture	Feedback	Feedback										2018970	0	1	7082	1	0	next	other	0
5	81	Picture	Stim;5;practice;3;5;6;1000;2;2;1;left	Stim	5	practice	3	5	6	1000	2	2	1	2026052	0	1	10068	1	0	next	other	0
5	83	Picture	Feedback	Feedback										2081045	0	1	7082	1	0	next	other	0
5	84	Picture	Stim;5;practice;3;6;3;1000;1;1;1;left	Stim	5	practice	3	6	3	1000	1	1	1	2088128	0	1	10068	1	0	next	other	0
5	86	Picture	Feedback	Feedback										2132636	0	1	7082	1	0	next	other	0
5	87	Picture	Stim;5;practice;3;7;4;1000;1;2;0;left	Stim	5	practice	3	7	4	1000	1	2	0	2139718	0	1	10068	1	0	next	other	0
5	89	Picture	Feedback	Feedback										2187073	0	1	7082	1	0	next	other	0
5	90	Picture	Instruction	Instruction										2194155	0	1	89433	1	0	next	other	0
5	90	Response	1											2283506	89350	1
5	91	Picture	Stim;5;practice;1;1;5;1000;2;2;1;left	Stim	5	practice	1	1	5	1000	2	2	1	2283588	0	1	10068	1	0	next	other	0
5	93	Picture	Feedback	Feedback										2334415	0	1	7082	1	0	next	other	0
5	94	Picture	Stim;5;practice;1;2;7;1000;2;2;1;left	Stim	5	practice	1	2	7	1000	2	2	1	2341497	0	1	10068	1	0	next	other	0
5	96	Picture	Feedback	Feedback										2401489	0	1	7082	1	0	next	other	0
5	97	Picture	Stim;5;practice;1;3;2;1000;1;1;1;left	Stim	5	practice	1	3	2	1000	1	1	1	2408571	0	1	10068	1	0	next	other	0
5	99	Picture	Feedback	Feedback										2450649	0	1	7082	1	0	next	other	0
